A-vitamiidna __ N __ A-vitamijnna
B-vitamiidna __ N __  B-vitamijnna
belko __ N __  skuolkká
bellodat __ N __  belludahka
bensiidna __ N __  bensijnna
beroštus __ N __  berustibme
bestojupmi __ N __  lånestibme
betoŋŋa __ N __  betoaŋŋa
bibliotehka __ N __  bibliotiehkka
bibliotehka __ N __  girjjevuorkká
biebmoruhta __ N __  biebbmomávsálvis
biebmoruoktu __ N __  biebbmosijdda
biebmovierru __ N __  biebbmodáhpe
bieggamillu __ N __  bieggamillo
bieggačoalli __ N __  vuodjamráhkko
bierggas __ N __  gálvvo
biergodáigi __ N __  bierggodájgge
biergomális __ N __  bierggomáles
bihcebáhce __ N __  biehtsebáhtsak
bihtánsápmi __ N __  bihtámsábme
biibbal __ N __  rámát
biilaluodda __ N __  bijllarahte
biilavuoddji __ N __  bijllavuoddje
biilavuovdi __ N __  bijllavuobdde
biipu __ N __  pijppa
biire __ N __  bijrra
bilideapmi __ N __  biledibme
bille __ N __  snjurgun
binná __ N __  smålle
biodiversitehta __ N __  biodiversitiehtta
biográfalaš __ N __  biografijjalasj
biologalaš __ N __  biologijjalasj
bioteknologalaš __ N __  bioteknologijjalasj
biotohpa __ N __  biotåvppå
bippal __ N __  rámát
birasbargi __ N __  birásbargge
birasgáhttendepartemeanta __ N __  birásgáhttimdepartemænnta
birasmirko __ N __  birássælgga
birasperspektiiva __ N __  birásperspektijvva
biras __ N __  biros
birasčoalli __ N __  sekkatjoalle
birgejupmi __ N __  bierggim
birkelaš __ N __  birkálla
birrin __ N __  birem
birri __ N __  birem
bissu __ N __  birsso
bistro __ N __  bistroj
bivddus __ N __  bivddovædtsak
bižus __ N __  hudi
bláđđi __ N __  bláde
boadnjá __ N __  boaddnje
boagán __ N __  avve
boahkkeguolli __ N __  boahkkeguolle
boahkku __ N __  guohpár
boahtal __ N __  båhtål
boallobeavdi __ N __  tastatuvrra
boalloráigi __ N __  boallorájgge
boanda __ N __  båndor
boarisvuohta __ N __  vuorasvuohta
boasta __ N __  poassta
boasttuvuohta __ N __  boastovuohta
boazobargi __ N __  ællobargge
boazodoalli __ N __  ælloniehkke
boazodoallu __ N __  boatsojæládus
boazosápmelaš __ N __  boatsojsábme
boazovázzi __ N __  ællobargge
boddu __ N __  båddå
bohcci __ N __  båhttså
bohccobiergu __ N __  boahttsubierggo
bollu __ N __  gárre
boradanlatnja __ N __  bårådimladnja
borasdávda __ N __  bårredávdda
boraspire __ N __  urudis
borgemánnu __ N __  bårggemánno
borjjasvanca __ N __  bårjåsvanntsa
borramušráva __ N __  biebbmooajvvadus
borramuš __ N __  bårråmus
borranbeavdi __ N __  biebbmobievdde
borranlatnja __ N __  bårråmladnja
borranáigi __ N __  bårråmájgge
borus __ N __  båros
bovdehus __ N __  bivddim
bovden __ N __  gåhttjom
bovdna __ N __  båvnne
bovra __ N __  boarra
brokkoli __ N __  brokkålli
bronsaáigi __ N __  brånssåájgge
brutto __ N __  bruhtoj
buhtadas __ N __  buohtto
buhtadus __ N __  buohtto
bumbá __ N __  gissto
bunjostat __ N __  buonjustahka
buohccebiila __ N __  ambulánssa
buohcci __ N __  pasiænnta
buohccát __ N __  skihppát
buoidecizáš __ N __  buojddegattsak
buoidegaccet __ N __  buojddegattsak
buolaš __ N __  tjoasskem
buolleviidni __ N __  buollemvijnna
buollinseaidni __ N __  suoddjimsiejnne
buolža __ N __  dievvá
buorri __ N __  ávkke
buozalvas __ N __  skihpudahka
buođđu __ N __  buodo
buresboahtin __ N __  buorisboahtem
buressivdnádus __ N __  buorissjivnnjádus
burrobiergu __ N __  vuovsábierggo
busegáhttu __ N __  gáhtto
buser __ N __  gænssir
bustávva __ N __  bokstávva
buvru __ N __  ráktsa
buđet __ N __  berun
byrå __ N __  byrådja
bábir __ N __  páhper
báhcat __ N __  báhtsak
báhkas __ N __  báhkka
báhkka __ N __  páhkke
báhkkon __ N __  budá
báhti __ N __  rujtta
báhtter __ N __  batterijja
báikegoddi __ N __  lagosbájkke
báimman __ N __  ræjnnuhiddje
báinna __ N __  bájna
báiste __ N __  stádtjo
bálkkašupmi __ N __  guddnebálkká
bálkábargi __ N __  bálkkábargge
bállu __ N __  guolla
bálvaleaddji __ N __  dievnár
bálvalus __ N __  dievnastus
bálvá __ N __  dievnár
bánnogáhkku __ N __  slåbbå
bárdni __ N __  báhttja
bártnáš __ N __  báhtjasj
bátnegealan __ N __  bádnegella
bátnegealas __ N __  bádnegella
báttas __ N __  buodo
bázahus __ N __  bátsev
báŋku __ N __  báŋŋka
cand.philol __ N __  cand.philol
cealkka __ N __  gárgadis
cealkámuš __ N __  árvvalus
ceavzilisvuohta __ N __  guoddelisvuohta
chiffersystema __ N __  chiffersystiebma
cihceskuolfi __ N __  tsihtsesjkunjok
cinná __ N __  tsinna
cissat __ N __  gådtjåt
cissá __ N __  buohtja
civnnahádja __ N __  guosmatsiehka
cizášfálli __ N __  dihttá
coagis __ N __  tsoahke
coahkkin __ N __  tjåhkanibme
coakci __ N __  tsoapptse
covid-19 __ N __  covid-19
cummá __ N __  tjulla
cuoppu __ N __  tsuoppoj
cuovkanamma __ N __  bekkadiddje
cuoŋománnu __ N __  vuoratjismánno
cuvccas __ N __  jáhtto
cytoplásmá __ N __  cytoplássmá
cára __ N __  tsárra
dadjamuš __ N __  moalgedibme
dadjanvuohki __ N __  moallánahka
dagus __ N __  dahko
dajaldat __ N __  moallánahkko
darfegoahti __ N __  gábmá
davvebiegga __ N __  nuorttobiegga
davviguovlu __ N __  nuorttaguovllo
davviriikalaš __ N __  nuorttarijkalasj
davviriikkalaš __ N __  nuorttarijkalasj
davviriikkalaččat __ N __  nuorttaguovlulattjat
davvi __ N __  nuortta
deaddu __ N __  dæddo
deadja __ N __  tiedja
deaivvadanbáiki __ N __  æjvvalimsadje
deanonjálbmi __ N __  jåhkånjálmudahka
deappu __ N __  dágge
dearri __ N __  ájvvo
dearvvasvuohta __ N __  varresvuohta
dearvvašvuohta __ N __  varresvuohta
dearvvašvuođabálvalus __ N __  varresvuodadievnastus
dearvvašvuođadutkan __ N __  varresvuodaguoradallam
dearvvašvuođainstitušuvdna __ N __  varresvuodainstitusjåvnnå
dearvvašvuođaiskkadeapmi __ N __  varresvuodaguoradallam
dearvvašvuođaorganisašuvdna __ N __  varresvuodaorganisasjåvnnå
dearvvašvuođaregisttar __ N __  varresvuodaregistar
dearvvašvuođastašuvdna __ N __  varresvuodastasjåvnnå
dearvvuohta __ N __  varrudahka
deccasystema __ N __  deccasystiebma
demeansa __ N __  demænssa
demokráhtalaš __ N __  demokratijjalasj
demokráhta __ N __  demokráhtta
design __ N __  desájnna
desimálasystema __ N __  desimalsystiebma
diadema __ N __  diadiebma
dialeakta __ N __  dialækta
diasystema __ N __  diasystiebma
diehppegálla __ N __  diehppekålla
diehtemeahttunvuohta __ N __  diehtemahtesvuohta
diehtobása __ N __  dáhtábássa
diehtogihpa __ N __  diehtogirjje
diehtogirji __ N __  diehtogirjje
diehtojuohkin __ N __  diehtojuohkem
diehtoteknologiija __ N __  diehtoteknologijja
diehtovuođđu __ N __  dáhtábássa
dielku __ N __  dieblle
dienas __ N __  ruhtavuojtto
dievasčoahkkinbargoveahka __ N __  ållestjåhkanimgádtse
diftoŋŋanjuolgan __ N __  diftoaŋŋaoanedibme
diftoŋŋa __ N __  diftoaŋŋa
diggeášši __ N __  riektá
diglossiija __ N __  diglossija
dihtomielalašvuohta __ N __  diedulasjvuohta
dihtomielalaš __ N __  diedulasj
dihtor __ N __  dáhtámasjijnna
diibmu __ N __  kloáhkka
diibmu __ N __  tijmma
diksu __ N __  jukso
diktagirji __ N __  diktagirjje
dikšun __ N __  sujtto
dikšun __ N __  sujttár
dikšu __ N __  sujtto
dikšu __ N __  sujttár
dilálašvuohta __ N __  aktijvuohta
disdat __ N __  dijstahka
diskotehka __ N __  diskotiehkka
distrikta __ N __  distrikta
disttat __ N __  dijstahka
divat __ N __  divut
diversitehta __ N __  diversitiehtta
divohat __ N __  divudahka
divššohas __ N __  pasiænnta
divššár __ N __  sujtár
diŋgojupmi __ N __  diŋŋgom
dl __ N __  dl
doaba __ N __  moallánahka
doaibmabiddji __ N __  doajmmaåvdåsvásstediddje
doaibmabidju __ N __  doajmmajbiedjam
doaibmadoarjja __ N __  doajmmaruhta
doaibmajahki __ N __  doajmmajahke
doaimmahat __ N __  dåjmadibme
doaivva __ N __  doajvvo
doaladupmi __ N __  miellaguoddo
doallu __ N __  adno
doapparlihtti __ N __  ruhtselihtte
doappar __ N __  ruhtse
doardna __ N __  toarnna
doarta __ N __  roahkka
doarvi __ N __  vallje
doavttergráda __ N __  dåktårgráda
doavttir __ N __  dåktår
dohkká __ N __  doahkko
dohkálaš __ N __  dåhkkidahtte
domeana __ N __  domiedna
dopmonjaman __ N __  dubmanjamán
dopmonoavki __ N __  dubmanjamán
dorski __ N __  jáddi
dorte __ N __  roahkka
dovddus __ N __  dåbdos
dovdomearka __ N __  dåbddomærkka
dovdot __ N __  dåbddut
dovdu __ N __  dåbddo
dovtta __ N __  davek
dronnet __ N __  drådnik
drošša __ N __  droassja
drošševuoddji __ N __  droassjavuoddje
drošše __ N __  droassja
drámá __ N __  drábmá
duhkoras __ N __  stågan
duhpát __ N __  dubáhkka
dukta __ N __  dáde
duktásadji __ N __  goahtesadje
duktá __ N __  goahtesadje
dulka __ N __  dålkkå
duohtaášši __ N __  sádnesvuohta
duojár __ N __  duodjár
duollu __ N __  toallja
duopmobeaivi __ N __  duobbmobiejvve
duopmu __ N __  duobbmo
duorastat __ N __  gasskavahkko
duoršu __ N __  stuorvuojatjis
duottarguovlu __ N __  duottar
duottarstohpu __ N __  várredåhpe
duođaštus __ N __  duodastus
dutkamuš __ N __  dutkam
dutkandepartemeanta __ N __  guoradallamdepartemænnta
dutkanprošeakta __ N __  dutkamprosjækta
dutkan __ N __  dutkam
dutkkus __ N __  dutkam
duvvá __ N __  duvvo
dvd __ N __  dvd
dynámo __ N __  dynámoj
dáhkki __ N __  dæhkko
dáhkádus __ N __  buohttidus
dáhppa __ N __  dáhpa
dáhton __ N __  biejvve
dáhttu __ N __  miella
dáiddár __ N __  dájddár
dákse __ N __  droassja
dálkkasdieđa __ N __  medisijnna
dálkkádat __ N __  dálkádahka
dálon __ N __  stuovesårro
dálvemánnu __ N __  dálvvemánno
dálvesiivu __ N __  dálvvefierdda
dálveáigi __ N __  dálvveájgge
dálááigi __ N __  dálásjájgge
dámmá __ N __  hæsstaniŋŋelis
dánskalaš __ N __  dánsska
dápmot __ N __  dábmuk
dárogielat __ N __  dárogielak
dássedeaddu __ N __  jæbddadæddo
dásseárvu __ N __  dássádus
dávdi __ N __  dábdde
dávgi __ N __  juoksa
dávval __ N __  tábllo
e-boasta __ N __  e-poassta
e-poasta __ N __  e-poassta
eaddji __ N __  áddjá
eahkedisbeaivi __ N __  iehkedisbiejvve
eahkesbeaivi __ N __  iehkedisbiejvve
eahketbeaivi __ N __  iehkedisbiejvve
eahpedábálaš __ N __  sierralágásj
eahpeipmil __ N __  boajtojubmel
eahpesihkarvuohta __ N __  iehpesihkarvuohta
eahpádus __ N __  juorrulibme
eahpáraš __ N __  æhpárij
eaiggátvuohta __ N __  æjggo
ealga __ N __  sarvva
ealga __ N __  ællja
ealit __ N __  ielle
eallinbeaivi __ N __  viessombiejvve
eallinláibi __ N __  viessomlájbbe
ealáhusfoanda __ N __  æládusfoannda
ealáhusorganisašuvdna __ N __  æládusorganisasjåvnnå
ealáhuspolitihkka __ N __  æláduspolitihkka
eamiálbmotdimenšuvdna __ N __  iemeálmmukdimensjåvnnå
eamiálbmotkonvenšuvdna __ N __  iemeálmmukkonvensjåvnnå
eamiálbmotperspektiiva __ N __  iemeálmmukperspektijvva
eanadatsuodjalanguovlu __ N __  árjudakduobdá
eanadoallodepartemeanta __ N __  ednambarggodepartemænnta
eanonjálbmi __ N __  jåhkånjálmudahka
eanu __ N __  ænoj
eappel __ N __  ehpal
earri __ N __  kvåvttå
earrogirji __ N __  sirádimgirjje
earru __ N __  ærádus
earta __ N __  ertar
eatnanvuloš __ N __  ganij
eatnibeaivi __ N __  iednebiejvve
eatnigielat __ N __  iednegielak
eatnogáddi __ N __  ædnogádde
eatnoheasta __ N __  ædnohæssta
eatnu __ N __  ædno
eaŋgalasgiella __ N __  ieŋŋilsgiella
eaŋgalsgiella __ N __  ieŋŋils
ebelsiidna __ N __  appelsijnna
ebel __ N __  ehpal
egyptalaš __ N __  egyptak
ehtemas __ N __  benasarre
eiseváldi __ N __  oajválasj
ekosystema __ N __  økosystiebma
eksema __ N __  eksiebma
eksempel __ N __  buojkulvis
ekspearta __ N __  ekspærtta
ekstrema __ N __  ekstriebma
eksámen __ N __  eksábma
ekváhtor __ N __  ekváhtor
elamlaš __ N __  elamiteak
elektrisitehta __ N __  elektrisitiehtta
elektroda __ N __  elektråvddå
elektronihkalaš __ N __  elektronihkalasj
elemeanta __ N __  elemænnta
elfápmu __ N __  elfábmo
elihta __ N __  elihtta
elrávdnji __ N __  strávve
emblema __ N __  embliebma
emfysema __ N __  emfysiebma
empiriija __ N __  empirija
entitehta __ N __  entitiehtta
epidemiija __ N __  epidemiddja
erenoamášdieđiheaddji __ N __  sierradiedediddje
erenoamášoahpahus __ N __  sierralágásjåhpadus
erenoamášpedagoga __ N __  sierrapedagåvggå
erenoamášpedagogihkka __ N __  sierrapedagogihkka
erenoamášraportevra __ N __  sierradiedediddje
erohus __ N __  sieradus
erren __ N __  karantiedna
erttetdákti __ N __  hiertikdákte
erttet __ N __  hiertik
erttet __ N __  hiertikdákte
espánnjagiella __ N __  spánskagiella
essea __ N __  essaya
etihkalaš __ N __  etihkalasj
etnalašvuohta __ N __  tjerdalasjvuohta
etnalaš __ N __  tjerdalasj
etnisitehta __ N __  etnisitiehtta
etnisitehta __ N __  tjerdalasjvuohta
etnográfalaš __ N __  etnografijjalasj
eurohpalaš __ N __  europalasj
evalueren __ N __  árvustallam
evangelium __ N __  evangeliumma
evttohas __ N __  ævtodus
evttolaš __ N __  evtulasj
eŋgelasgielat __ N __  ieŋŋilsgielak
eŋgelasgiella __ N __  ieŋŋilsgiella
eŋgel __ N __  ieŋŋgil
faggi __ N __  vagge
fakultehta __ N __  fakultiehtta
falleheapmi __ N __  ládam
falástallan __ N __  valástallam
fanasmohtor __ N __  vanntsamotåvrrå
farao __ N __  farauvva
farisealaš __ N __  farisea
faskkon __ N __  skuohpá
favorihtta __ N __  favorihtta
fašisma __ N __  fascissma
feaila __ N __  vihke
feardna __ N __  giernas
feargabliánta __ N __  bájnnoblyánnta
fearga __ N __  bájnno
feaskkir __ N __  boadáldahka
feasta __ N __  fæssta
feminitehta __ N __  femininitiehtta
fenomena __ N __  fenomiedna
festivála __ N __  festiválla
fidnooahppi __ N __  viddnooahppe
fidnu __ N __  virgge
fiehta __ N __  viehtak
fielbmá __ N __  vielmes
fierbmi __ N __  viermme
fierpmádat __ N __  værmádahka
fierrat __ N __  vierrat
fiila __ N __  fijlla
fiila __ N __  fijllo
finddár __ N __  flinnjar
finihttavearba __ N __  finihtaværbba
finánsadepartemeanta __ N __  ruhtadusdepartemænnta
firkkal __ N __  virkal
fiskesbeštor __ N __  visskásjvatjik
fiskesvizar __ N __  visskálávllo
fitnodat __ N __  vidnudahka
fleksibilitehta __ N __  fleksibilitiehtta
flipsystema __ N __  flipsystiebma
fokus __ N __  fokus
fonema __ N __  foniebma
formalitehta __ N __  formalitiehtta
forum __ N __  forum
frukta __ N __  sjattos
fuolahus __ N __  hukso
fuolkevuohta __ N __  berajvuohta
fuolla __ N __  hukso
fuomášupmi __ N __  gávnadus
fuorrávuohta __ N __  skiegesvuohta
fuorrá __ N __  huorrá
fuođđu __ N __  luohtok
fylkkagielddalaš __ N __  fylkkagieldalasj
fylkkasuohkanlaš __ N __  fylkkagieldalasj
fylkkasuohkan __ N __  fylkkasuohkan
fábel __ N __  fábal
fáddá __ N __  tiebmá
fágabargi __ N __  fáhkabargge
fágadepartemeanta __ N __  fáhkadepartemænnta
fágagiella __ N __  fáhkagiella
fágagirji __ N __  fáhkagirjje
fágagirjjálašvuohta __ N __  fáhkagirjálasjvuohta
fágalaš __ N __  fágalasj
fágaplána __ N __  fáhkapládna
fáktavuorru __ N __  váktajuohko
fákta __ N __  vákta
fáktor __ N __  fávtor
fáldi __ N __  sunnde
fális __ N __  sváles
fámohisvuohta __ N __  fábmogisvuohta
fáŋgavuohta __ N __  fáŋŋgavuohta
gakcut __ N __  guohtsat
galbmaskábe __ N __  galmmaskáhppa
galbmaskáhppe __ N __  galmmaskáhppa
galda __ N __  skuolkká
galilealaš __ N __  galileak
garasvuohta __ N __  garrasvuohta
garjá __ N __  gárránis
garraláibi __ N __  garralájbbe
garrametálla __ N __  garrametálla
garramuitu __ N __  garraskierro
garraskearru __ N __  garraskierro
garrat __ N __  garrat
gartneriija __ N __  gartnerijja
gaskabeaivi __ N __  gasskabiejvve
gaskadilli __ N __  gasskamuddo
gaskaidja __ N __  gasskaidja
gaskamuddu __ N __  gasskarádje
gaskan __ N __  gaskan
gaskaoapmi __ N __  nævvo
gaskaolmmái __ N __  gasskaålmåj
gaskasuorbma __ N __  gasskatjuvdde
gaskavahkku __ N __  duorastahka
gaskaáigi __ N __  gasskaájgge
gaskkamuddu __ N __  gasskamuddo
gaskka __ N __  gaskan
gassamuorra __ N __  mátta
gassaváhkká __ N __  tjibbe
gavjanjaman __ N __  dubmanjamán
gazzareabbá __ N __  ráppes
gažaldatmearka __ N __  gatjálvismærkka
geafivuohta __ N __  hæjosvuohta
geahpesboalddáhat __ N __  giehpesvuolssje
geahčastat __ N __  gehtjastahka
geahččaladdan __ N __  gæhttjaladdam
geahččaleaddji __ N __  gæhttjaliddje
geahččalus __ N __  gæhttjalus
geahčči __ N __  gæhttje
geaidnoguorra __ N __  rahtebællá
geaidnohuksen __ N __  rahtebiggim
geaidnu __ N __  rahte
geainnoheapme __ N __  rahtedibme
geaksa __ N __  gæksa
geardi __ N __  bálle
geardi __ N __  etássja
gearpmaš __ N __  germaj
gearra __ N __  gávttja
gearret __ N __  riektátjåhkanibme
geassesiivu __ N __  giessefierdda
geasseáigi __ N __  giesseájgge
geatki __ N __  gierkke
geatnegahtton __ N __  bákkulasj
geatnegahtton __ N __  åvdåsvásstádus
geavahanbagadus __ N __  adnembagádus
geavahanvuoigatvuohta __ N __  adnemriektá
geavahančilgehus __ N __  adnembagádusásj
geavaheaddjejoavku __ N __  addnejuogos
geavaheaddjinamma __ N __  addnenamma
geavahus __ N __  adnem
geavahus __ N __  adno
geavatlaš __ N __  praktihkalasj
geavat __ N __  práksis
geavleoarri __ N __  tjuolldahálla
geađaš __ N __  geda
geađgerásttis __ N __  gierggerástes
geađgeáigi __ N __  gierggeájgge
gelbbolašvuohta __ N __  máhtudahka
gemináhta __ N __  gemináhtta
genetihkalaš __ N __  genetihkalasj
geográfalaš __ N __  geografijjalasj
geologalaš __ N __  geologijjalasj
geres __ N __  gieris
geriljá __ N __  gerilljá
giddagas __ N __  giddagis
giehtaduodji __ N __  duodje
giehtagirji __ N __  giehtagirjje
giehtaspábba __ N __  giehtabállo
gieldadepartemeanta __ N __  suohkandepartemænnta
gieldaláhka __ N __  suohkanláhka
gielddalaš __ N __  gieldalasj
gielddus __ N __  buorggo
gielká __ N __  tjielkká
giellabargi __ N __  giellabargge
giellabeassi __ N __  giellabiesse
gielladutki __ N __  gielladutke
giellafágalaš __ N __  giellafágalasj
giellagáhtten __ N __  giellasujtto
giellahistorjjálaš __ N __  giellahiståvrålasj
giellalávdegoddi __ N __  giellanammadus
giellarádji __ N __  giellarádjá
gierdameahttunvuohta __ N __  gierddamahtesvuohta
gierdi __ N __  gerda
gierdu __ N __  gievlle
gieres __ N __  gieris
gievdni __ N __  giebbme
giezzi __ N __  jåhkå
gihkanáigi __ N __  giejmmeájgge
giikan __ N __  tjijkar
giiragássa __ N __  målsudahka
giitevašvuohta __ N __  gijttevasjvuohta
giittos __ N __  gijtto
gillájeaddji __ N __  gillajiddje
gillámuš __ N __  gierddamus
gilográmma __ N __  kilográmma
gilvaleaddji __ N __  biddnustalle
gilvobiila __ N __  gilposbijlla
gilvu __ N __  gilpos
gilvvagárdi __ N __  sjattadahka
gilvva __ N __  gårnne
gilvvašaddu __ N __  ruddarásse
ginttaljuolgi __ N __  gintaljuolgge
girdigieddi __ N __  girddesalljo
girdihámman __ N __  girddesalljo
girdisábin __ N __  náhkkesoadje
girdisáhpán __ N __  náhkkesoadje
girdišillju __ N __  girddesalljo
girjekataloga __ N __  girjjekatalåvggå
girjerájus __ N __  girjjevuorkká
girji __ N __  hálediddje
girjjálašvuohta __ N __  girjálasjvuohta
girkogirji __ N __  girkkogirjje
girkojahki __ N __  girkkojahke
gistta __ N __  gistá
giđđadulvi __ N __  gidádulvve
giđđageassi __ N __  gidágiesse
goahtemuorra __ N __  dægá
goahti __ N __  gábmá
goaikkanas __ N __  gåjkudis
goaivunmašiidna __ N __  bállemmasjijnna
goallu __ N __  buojddelámmpo
goalmmádas __ N __  gålmadis
goalšoruoššehas __ N __  ruohkolávllo
goalšovizar __ N __  ruohkolávllo
goarta __ N __  kårttå
goaskin __ N __  goasskem
goassa __ N __  skåhpa
goatnil __ N __  oagge
goavddis __ N __  goabdes
goavdi __ N __  sehka
goaŧŧu __ N __  skoahto
gobmi __ N __  skåjvve
goddesáhpán __ N __  luoma
goddin __ N __  gåddålibme
gohppu __ N __  gåhppå
goikebiergu __ N __  gåjkkebierggo
goikeguolli __ N __  gåjkkeguolle
golbmalogis __ N __  gålmmålåges
golbmanuppelogis __ N __  lågenangålmås
golggotmánnu __ N __  gålgådismánno
golmmas __ N __  gålmås
gonagasreabbá __ N __  gånågisráppes
gorutlaš __ N __  rumáj
gorut __ N __  gårot
gorut __ N __  rumáj
gosahat __ N __  gåsås
govus __ N __  gåvos
govvagirji __ N __  gåvvågirjje
govvaráidu __ N __  gåvvårájddo
govvačuolus __ N __  tjuolos
