gálnnas	gálnas	a
guolggamátta	guolgamátta	n
lasstamátta	lastamátta	n
lastamátta	lasstamátta	n
buvtta	buvta	n
alvva	alva	n
balvva	balva	n
goalvva	goalva	n
buolvva	buolva	n
duolvva	duolva	n
gálvva	gálva	n
sarvva	sarva	n
alva	alvva	n
balva	balvva	n
goalva	goalvva	n
buolva	buolvva	n
duolva	duolvva	n
gálva	gálvva	n
sarva	sarvva	n
jiekŋa	jiegŋa	n
siekŋa	siegŋa	n
dikŋa	digŋa	n
buokŋa	buogŋa	n
jarŋŋa	jargŋa	n
jiegŋa	jiekŋa	n
siegŋa	siekŋa	n
digŋa	dikŋa	n
buogŋa	buokŋa	n
jargŋa	jarŋŋa	n
ganjál	ganjal	n
firkkal	firkal	n
ginál	ginal	n
gintal	ginttal	n
biŋál	biŋal	n
gárjel	gárjjel	n
gárjil	gárjjel	n
gárjjel	gárjel	n
áksil	áksel	n
gargŋil	garŋŋel	n
ábmel	ápmil	n
áksel	áksil	n
maŋŋeáksel	maŋŋeáksil	n
garŋŋel	gargŋil	n
badjeoalul	badjeoalol	n
ganjal	ganjál	n
ginal	ginál	n
biŋal	biŋál	n
rabán	raban	n
vuopman	vuobman	n
vuobman	vuopman	n
báhkin	báhken	n
báhken	báhkin	n
rábun	rábon	n
ihkkun	ihkkon	n
berun	beron	n
gesun	geson	n
nástun	nástton	n
rábon	rábun	n
ihkkon	ihkkun	n
gáron	gárun	n
geson	gesun	n
nástton	nástun	n
raban	rabán	n
dimbar	dimbbar	n
áldar	álddar	n
gamár	gamar	n
lektur	lektor	n
áktur	áktor	n
tráktur	tráktor	n
lektor	lektur	n
áktor	áktur	n
tráktor	tráktur	n
duolbbár	duolbár	n
guvlár	guvllár	n
guvllár	guvlár	n
gamar	gamár	n
stivrár	stivrrár	n
stivrrár	stivrár	n
duvssár	duvsár	n
áltár	álltár	n
álltár	áltár	n
duolvvár	duolvár	n
duolvár	duolvvár	n
alddas	aldas	n
biergas	bierggas	n
mielggas	mielgas	n
bierggas	biergas	n
dálkas	dálkkas	n
buoskas	buoskkas	n
dálkkas	dálkas	n
gaskkas	gaskas	n
valás	valas	n
ramás	ramas	n
guolmmas	guolmas	n
guolmas	guolmmas	n
vanás	vanas	n
gurpas	gurppas	n
gurppas	gurpas	n
urttas	urtas	n
urtas	urttas	n
oajvvadus	oaivadus	n
oaivadus	oajvvadus	n
vuorbádus	vuorbbádus	n
vuorbbádus	vuorbádus	n
bagadus	bagádus	n
ájáhus	ájádus	n
bilkádus	bilkkádus	n
bilkkádus	bilkádus	n
gulahus	guládus	n
suohpáhus	suohpádus	n
dáhpáhus	dáhpádus	n
lasáhus	lasádus	n
vásahus	vásádus	n
vásáhus	vásádus	n
vástádus	vásstádus	n
vásstádus	vástádus	n
árvvádus	árvádus	n
árvádus	árvvádus	n
háldadus	hálddahus	n
álgadus	álggahus	n
guládus	gulahus	n
gávnadus	gávnnahus	n
vásádus	vásahus	n
suohpádus	suohpáhus	n
dáhpádus	dáhpáhus	n
lasádus	lasáhus	n
vásádus	vásáhus	n
hástalus	hásstalus	n
hásstalus	hástalus	n
árvvalus	árvalus	n
árvalus	árvvalus	n
valas	valás	n
ramas	ramás	n
vanas	vanás	n
biras	birás	n
daŋas	daŋás	n
ragát	ragat	n
isit	iset	n
iset	isit	n
ragat	ragát	n
hoavkát	hoavkkát	n
hoavkkát	hoavkát	n
bilgá	bilggá	n
bilggá	bilgá	n
garjá	garjjá	n
garjjá	garjá	n
skuolká	skuolkká	n
bálká	bálkká	n
válká	válkká	n
mierká	mierkká	n
vuorká	vuorkká	n
skuolkká	skuolká	n
bálkká	bálká	n
válkká	válká	n
mierkká	mierká	n
vuorkká	vuorká	n
skiermmá	skierbmá	n
livvaskiermmá	livvaskierbmá	n
gurmmá	gurbmá	n
skierbmá	skiermmá	n
livvaskierbmá	livvaskiermmá	n
gurbmá	gurmmá	n
rádná	ráddná	n
ráddná	rádná	n
stávrá	stávrrá	n
stávrrá	stávrá	n
galbaráksá	galbbaráksá	n
galbbaráksá	galbaráksá	n
ganjálráksá	ganjalráksá	n
ganjalráksá	ganjálráksá	n
vuosstá	vuostá	n
vuostá	vuosstá	n
fiervvá	fiervá	n
fiervá	fiervvá	n
buohkat	gájka	pron
gaikkat	gájka	pron
galle	galla	pron
gait% divnnat	gájk% divna	pron
nubbi	nubbe	pron
mihkkege	mige	pron
mihkkige	mige	pron
mihkke	mige	pron
mihkket	mige	pron
nuppi	nuppe	pron
guhte	guhti	pron
vaikko% guhte	vájku% guhti	pron
oktahat	aktelasj	pron
vaikko% guhtemuš	vájku% guhtimusj	pron
guktot	goappásj	pron
dahtanaga	dahtak	pron
guhtenai	gesisik	pron
goabbáge	goabbásik	pron
goabbánai	goabbásik	pron
guhtege	guhtik	pron
guhtenai	guhtik	pron
goabbat	goabbák	pron
muhtin	muhtem	pron
muhtun	muhtem	pron
gallát	galládin	pron
simme	nn	pron
oallugat	nn	pron
guoktasat	nn	pron
dakkar	dakkir	pron
vaikko% makkár	vájku% makkár	pron
dokkár	duokkár	pron
dákkar	dákkár	pron
diekkár	dákkár	pron
gallis	galles	pron
soamis	soames	pron
dot	duot	pron
diet	dát	pron
vaikko% goabbá	vájku% goabbá	pron
juobbágoabbá	juobbá	pron
vai	vaj	cs
das	dasik	cs
vaikke	vájk	cs
muhte	men	cs
danin	danen	cs
jos	jus	cs
aht	at	cs
dasgo	dagu	cs
dego	degu	cs
vaikko	vájku	cs
hávkkádit	tsiellat	v
jalaidit	juhtsat	v
boarásmit	vuorasduvvat	v
jámálgit	jámálguvvat	v
boarásmit	boarásmuvvat	v
gaibadit	gajbbadit	v
giebahit	giebadit	v
gáludit	gievdadit	v
goahkádit	goagadit	v
viegahit	viegadit	v
vielgahit	vielggadit	v
njuolgadit	njuolggadit	v
njuolgahit	njuolggadit	v
ravgadit	ravggadit	v
guovgahit	guovggadit	v
gágirdit	gággadit	v
njuolggadit	njuolgadit	v
vuolggadit	vuolgadit	v
vuolggahit	vuolgadit	v
álggadit	álgadit	v
álggahit	álgadit	v
bálggadit	bálgadit	v
bálggahit	bálgadit	v
gálggadit	gálgadit	v
juogustit	juogadit	v
barggadit	bargadit	v
barggahit	bargadit	v
spierggadit	spiergadit	v
ravggadit	ravgadit	v
ravggahit	ravgadit	v
ruovggadit	ruovgadit	v
lávggadit	lávgadit	v
ipmirdit	dádjadit	v
goarjadit	goarjjadit	v
davkadit	davkkadit	v
hávkadit	hávkkadit	v
jávkadit	jávkkadit	v
mieskadit	miesskadit	v
guoskadit	guosskadit	v
njuoskadit	njuosskadit	v
dutkkadit	dutkadit	v
dutkkahit	dutkadit	v
davkkadit	davkadit	v
ástadit	ásnadit	v
gávnnadit	gávnadit	v
gávnnahit	gávnadit	v
jiebbadit	jieppadit	v
gahpádit	gahppadit	v
sierahit	sieradit	v
fieradit	vieradit	v
fierradit	vieradit	v
fierahit	vieradit	v
jiessadit	jiesadit	v
ruosahit	ruosadit	v
guorssádit	guorsadit	v
vuovssadit	vuovsadit	v
mávssahit	mávsadit	v
ruohtahit	ruohtadit	v
oasse#ruhtadit	oasseruhtadit	v
asttahit	astadit	v
masttadit	mastadit	v
astadit	asstadit	v
mastadit	masstadit	v
goastadit	goasstadit	v
risttahit	risstadit	v
buvttadit	buvtadit	v
duolvvidit	duolvadit	v
dálvvadit	dálvadit	v
njuovahit	njuovadit	v
suovvidit	suovadit	v
oaivadit	oajvvadit	v
duolvadit	duolvvadit	v
dulvadit	dulvvadit	v
sakŋadit	sagŋadit	v
duokŋadit	duogŋadit	v
sáddedit	sáddidit	v
sáddehit	sáddidit	v
huksehit	tsieggidit	v
laigehit	lajggidit	v
ravgehit	ravggidit	v
bággehit	bággidit	v
murjedit	muorjjidit	v
hárjehit	hárjjidit	v
tiggedit	didtjidit	v
guhkedit	guhkidit	v
sagahit	sahkkidit	v
sahkkehit	sahkkidit	v
ráhkkedit	ráhkkidit	v
merkehit	mierkkidit	v
laskehit	lasskidit	v
galledit	gallidit	v
gallehit	gallidit	v
velledit	viellidit	v
bállehit	bállidit	v
dálledit	dállidit	v
mállehit	mállidit	v
ordnedit	oarnnidit	v
ávdnedit	ávnnidit	v
háhppehit	háhppidit	v
buoredit	buoridit	v
darvehit	dabrridit	v
gurrehit	gurridit	v
fievrre7dit	fievrridit	v
rentedit	prienntidit	v
prentedit	prienntidit	v
prentehit	prienntidit	v
ruvvedit	ruvvidit	v
stávedit	stávidit	v
guvnnádit	guggŋidit	v
njárbudit	njárbbodit	v
láibbuhit	lájbodit	v
hálganit	noadodit	v
váidudit	vájddodit	v
suddudit	suddodit	v
ráfuhit	ráfodit	v
oaguhit	oagodit	v
soaggudit	soaggodit	v
láigudit	lájggodit	v
ráiggidit	rájggodit	v
njálgudit	njálggodit	v
duoggudit	duoggodit	v
hilggodit	hilgodit	v
gurgguhit	gurgodit	v
njavgguhit	njávgodit	v
váguhit	vágodit	v
oaiuhit	oajodit	v
oadjudit	oadjodit	v
vuodjudit	vuodjodit	v
galljudit	galljodit	v
buonjuhit	buonjodit	v
doarjjuhit	doarjodit	v
girjjudit	girjodit	v
girjjuhit	girjodit	v
dáiuhit	dájodit	v
háiuhit	hájodit	v
boahkohit	boahkodit	v
boahkuhit	boahkodit	v
roahkohit	roahkodit	v
roahkuhit	roahkodit	v
sihkuhit	sihkodit	v
suohkudit	suohkodit	v
gaikkuhit	gajkodit	v
goaikkuhit	goajkodit	v
oakkuhit	oakkodit	v
boakkuhit	boakkodit	v
goavkkuhit	goavkkodit	v
goalkkuhit	goalkodit	v
gilkkuhit	gilkodit	v
murkkudit	murkodit	v
loaskkuhit	loaskodit	v
nivkkuhit	nivkodit	v
bávkkuhit	bávkodit	v
roaŋkkuhit	roaŋkodit	v
oalgguhit	alodit	v
boaluhit	boalodit	v
goaluhit	goalodit	v
stoaluhit	stoalodit	v
váiludit	vájlodit	v
goalludit	goallodit	v
silludit	sillodit	v
juolludit	juollodit	v
nuolludit	nuollodit	v
vuolludit	vuollodit	v
háluhit	hállodit	v
njoamuhit	njoamodit	v
hipmudit	hibmodit	v
fápmudit	fábmodit	v
almmuhit	almodit	v
ilmmuhit	ilmodit	v
joaibmudit	joajmmodit	v
skierpmuhit	skiermodit	v
nanudit	nanodit	v
rinuhit	rinodit	v
vuortnuhit	vuornodit	v
sártnuhit	sárnodit	v
ánuhit	ánodit	v
sánuhit	sánodit	v
gihpudit	gihpodit	v
doaruhit	doarodit	v
goaruhit	goarodit	v
vuoruhit	vuorodit	v
garrudit	garrodit	v
irrudit	irrodit	v
hirrudit	hirrodit	v
skirruhit	skirrodit	v
gievrudit	gievrrodit	v
divrudit	divrrodit	v
suvrudit	suvrrodit	v
hávrudit	hávrodit	v
návrruhit	návrodit	v
váruhit	várodit	v
basuhit	basodit	v
bisuhit	bisodit	v
gassudit	gassodit	v
guossohit	guossodit	v
rusuhit	rusodit	v
ovdadit	goavsodit	v
biltudit	billtodit	v
goastudit	goasstodit	v
fastudit	vasstodit	v
ruostudit	ruosstodit	v
hásttuhit	hástodit	v
divuhit	divodit	v
livvudit	livodit	v
doaivvuhit	doajvodit	v
doalvvuhit	doalvodit	v
gilvvuhit	gilvodit	v
gárvvohit	gárvodit	v
gárvvuhit	gárvodit	v
livvudit	livvodit	v
skávuhit	skávodit	v
jiekŋudit	jiegŋodit	v
goarkŋohit	goarŋodit	v
goarkŋuhit	goarŋodit	v
vánddardit	vándardit	v
gilkkardit	gilkardit	v
hulaidit	lillardit	v
nimmardit	njimmardit	v
nábirdit	náberdit	v
nábárdit	náberdit	v
bábirdit	báhperdit	v
nimmurdit	njimmordit	v
nimmordit	njimmurdit	v
libardit	libárdit	v
libaidit	slibárdit	v
jaraidit	gitjárdit	v
suibbodit	sujbudit	v
láibbodit	lájbudit	v
njárbbodit	njárbudit	v
suddohit	suddudit	v
hávskkuhit	hávsskdudit	v
gerddodit	gerdudit	v
gárddodit	gárdudit	v
márffodit	márfudit	v
ráfohit	ráfudit	v
megodit	megudit	v
láigohit	lájggudit	v
njigodit	njigudit	v
jalggodit	jalgudit	v
nelggodit	nelgudit	v
gilggodit	gilgudit	v
hilggodit	hilgudit	v
njurggodit	snjurgudit	v
sárggodit	sárgudit	v
mugodit	mugudit	v
ravggodit	ravgudit	v
guvggodit	guovgudit	v
njavggodit	njávgudit	v
lávggodit	lávgudit	v
dáiodit	dájudit	v
gáiodit	gájudit	v
sihkodit	sihkudit	v
gaikkodit	gajkudit	v
fuikkodit	fujkudit	v
báhkkodit	báhkkudit	v
sáhkkohit	sáhkkudit	v
gaikodit	gajkkudit	v
snelkkodit	snelkudit	v
bálkkodit	bálkudit	v
dálkkodit	dálkudit	v
merkkodit	merkudit	v
furkkodit	vurkudit	v
jaskkodit	jaskudit	v
hávskudit	hávsskudit	v
lávkkodit	lávkudit	v
njalodit	njaludit	v
delodit	deludit	v
dallodit	dalludit	v
lávllodit	lávludit	v
dulmmodit	duolmudit	v
galbmodit	galmmudit	v
gerpmodit	germudit	v
gámodit	gámudit	v
máinnodit	májnudit	v
runodit	ruonudit	v
sártnodit	sárnudit	v
ánodit	ánudit	v
ránodit	ránudit	v
sáhpodit	sáhpudit	v
lihtodit	lihtudit	v
dusttodit	duostudit	v
ettodit	ettudit	v
muhttohit	muhttudit	v
luttodit	luottudit	v
divodit	divudit	v
livodit	livudit	v
livvohit	livudit	v
gárvodit	gárvvudit	v
vuorbádit	vuorbbádit	v
huhtagit	huhttahit	v
ihtalit	idatjit	v
bálkádit	bálkkit	v
bálkáhit	bálkkit	v
jusádit	buosskit	v
baldalit	balldalit	v
duoldalit	duolldalit	v
guldalit	gulldalit	v
váldalit	válldalit	v
bálgalit	bálggalit	v
gálgalit	gálggalit	v
njirgalit	tsirggalit	v
goalkalit	goalkkalit	v
skoalkalit	skoalkkalit	v
ravkalit	ravkkalit	v
livkalit	livkkalit	v
bávkalit	bávkkalit	v
rávkalit	rávkkalit	v
loaskalit	loasskalit	v
njieládit	njiellalit	v
guovlalit	guovllalit	v
kuovlalit	guovllalit	v
lapmalit	labmalit	v
ramsalit	rabmalit	v
fatnalit	vadnalit	v
vatnalit	vadnalit	v
oaidnalit	vuojnnalit	v
jalkkihit	juhtsalit	v
guhttánit	guhttanit	v
bahonit	bahunit	v
hedjonit	hedjunit	v
lahkonit	lahkunit	v
nannudit	nannunit	v
guorranit	guorrunit	v
maŋŋonit	maŋŋunit	v
maŋŋánit	maŋŋunit	v
dobbánit	doabbánit	v
ráigánit	rájggánit	v
gurgánit	gurggánit	v
doahppádit	hárjjánit	v
hárjánit	hárjjánit	v
gaikánit	gajkkánit	v
hállanit	hállánit	v
gárvánit	gárvvánit	v
darvvihit	dabrrit	v
lovttahit	stávttjurit	v
nimmorit	njimmurit	v
sárgasit	sárggasit	v
latnjasit	ladnjasit	v
njalkasit	njalkkasit	v
fatnasit	vadnasit	v
bastasit	basstasit	v
gumppo7stit	gámssit	v
gumppustit	gámssit	v
lohkkadit	lássit	v
hedjosit	hedjusit	v
hádjosit	hádjusit	v
ellosit	ellusit	v
illosit	illusit	v
millosit	millusit	v
sirdásit	sirddásit	v
njaldásit	njalldásit	v
sildásit	silldásit	v
gaikásit	gajkkásit	v
bálkásit	bálkkásit	v
gáskásit	gásskásit	v
bastásit	basstásit	v
garvásit	garvvásit	v
rábádit	rábastit	v
alddastit	aldastit	v
barggastit	bargastit	v
sárggastit	sárgastit	v
vuollái#sárggastit	vuollájsárgastit	v
humadit	ságastit	v
humahit	ságastit	v
sihke7stit	sihkastit	v
skuolkkastit	skuolkastit	v
dálkkastit	dálkastit	v
njaskkastit	njaskastit	v
suoskkastit	suoskastit	v
davkkastit	davkastit	v
njávkkastit	njávkastit	v
guovllastit	guovlastit	v
kuovllastit	guovlastit	v
lávllastit	lávlastit	v
amasmit 	abmastit	v
biepmastit	biebmastit	v
duolmmastit	duolmastit	v
njámmastit	njámastit	v
vuoste#jienastit	vuosstejienastit	v
máinnastit	májnastit	v
bivssastit	bivsastit	v
bivttastit	bivtastit	v
dulvvastit	dulvastit	v
vásttostit	vástustit	v
báitostit	bájttustit	v
labastit	labástit	v
rabe7stit	rabástit	v
rabastit	rabástit	v
jalastit	jalástit	v
salastit	salástit	v
lávlestit	lávllástit	v
gulastit	gulástit	v
sulastit	sulástit	v
oamásmit	oabmástit	v
gáimmástit	gájmástit	v
ganastit	ganástit	v
birastit	birástit	v
basastit	basástit	v
muitástit	mujttástit	v
guvrruhit	roahkkot	v
doadjasit	doaddjut	v
doadjásit	doaddjut	v
muhtun	valla	adv
albma	almma	adv
agi	age	adv
aktanaga	avta% bále	adv
aktanis	dalánagi	adv
akte	akti	adv
albmaládje	almmaláhkáj	adv
albmaláhkai	almmaláhkáj	adv
ain	ájn	adv
aivve	nn	adv
alibuin	alebun	adv
aittos	ajtu	adv
agi	agev	adv
