rišša#gabba	rissja#gabba
skuvla#hoavda	skuvlla#hoavdda
sosiála#hoavda	sosial#hoavdda
etáhta#hoavda	etáhta#hoavdda
arkiiva#hoavda	arkkijva#hoavdda
fylkka#vuovde#hoavda	fylka#vuovdde#hoavdda
fylkka#vuovdi#hoavda	fylka#vuovdde#hoavdda
veahkke#hoavda	viehkke#hoavdda
ekonomi#hoavda	ekunome#hoavdda
bákte#hoavda	bákte#hoavdda
personal#hoavda	perssunal#hoavdda
sosiál#hoavda	såsiál#hoavdda
márkan#jođihan#hoavda	márkkan#jådehan#hoavdda
hálddašan#hoavda	háldatjan#hoavdda
guolástan#hoavda	guolástan#hoavdda
eana#vuovdin#hoavda	iena#vuovdden#hoavdda
buollin#hoavda	buollen#hoavdda
ekspedišun#hoavda	ekspedisjun#hoavdda
bargo#hoavda	barggo#hoavdda
buohcce#dikšo#hoavda	buohttse#diksjo#hoavdda
báŋko#hoavda	báŋkko#hoavdda
boazo#doallo#hoavda	boatso#doallo#hoavdda
kino#hoavda	kino#hoavdda
geaidno#hoavda	giejnno#hoavdda
vearro#hoavda	vierro#hoavdda
byro#hoavda	byro#hoavdda
kultur#hoavda	kultur#hoavdda
hálddahus#hoavda	háldahus#hoavdda
doaimmahus#hoavda	doajmahus#hoavdda
ealáhus#hoavda	æláhus#hoavdda
ossodat#hoavda	åssudat#hoavdda
láibe#ravda	lájbbe#ravdda
beavde#ravda	bievdde#ravdda
badje#ravda	badje#ravdda
almmi#ravda	alme#ravdda
albme#ravda	almme#ravdda
olgeš#ravda	ålggesj#ravdda
boagan#ravda	bågan#ravdda
siido#ravda	sijddo#ravdda
gierdo#ravda	gierddo#ravdda
álo#ravda	álo#ravdda
hálo#ravda	hálo#ravdda
ruito#ravda	rujtto#ravdda
gahččastat#ravda	gahttjastat#ravdda
gurut#ravda	gurut#ravdda
bajá#ravda	bajá#ravdda
gáma#ruovda	gáma#ruovdda
radde#vuovda	radde#vuovdda
badje#vuovda	badje#vuovdda
vuolle#vuovda	vuolle#vuovdda
manne#vuovda	manne#vuovdda
ovda#vuovda	åvddå#vuovdda
krám#buvda	krám#buvdda
dálkkas#buvda	dálkas#buvdda
biegga#dávda	biegga#dávdda
luhča#dávda	luhtja#dávdda
báhkka#dávda	báhkka#dávdda
spánska#dávda	spánsska#dávdda
healla#dávda	hiella#dávdda
substantiiva#dávda	substantijva#dávdda
čáhce#ruobbe#dávda	tjáhtse#ruobbe#dávdda
árbe#dávda	árbbe#dávdda
nevro#deahkke#dávda	nevrro#diehkke#dávdda
neuro#deahkke#dávda	neuro#diehkke#dávdda
guolle#dávda	guolle#dávdda
vuolle#dávda	vuolle#dávdda
leasme#dávda	liessme#dávdda
lađas#leasme#dávda	ladás#liessme#dávdda
vátne#dávda	vádne#dávdda
oaive#dávda	oajvve#dávdda
saŋáš#dávda	saŋásj#dávdda
spiral#dávda	spirál#dávdda
spihtál#dávda	spihtál#dávdda
ástan#dávda	ásstan#dávdda
jápmin#dávda	jábmen#dávdda
obbon#dávda	åbbun#dávdda
čidnon#dávda	tjiddnun#dávdda
golgo#dávda	gålggo#dávdda
boahkko#dávda	boahkko#dávdda
dielko#dávda	dielkko#dávdda
bárko#dávda	bárkko#dávdda
njoammu#dávda	njoammo#dávdda
boazo#dávda	boatso#dávdda
rohttu#dávda	råhtto#dávdda
sohkar#dávda	såhkår#dávdda
logahas#dávda	lågåhas#dávdda
rabies#dávda	rabies#dávdda
njuoskkes#dávda	njuoskes#dávdda
nuoskkes#dávda	nuoskes#dávdda
fiskes#dávda	fisskes#dávdda
geahpes#dávda	giehpes#dávdda
sis#dávda	sis#dávdda
moatte#lađas#dávda	moatte#ladás#dávdda
gánas#dávda	gánás#dávdda
boras#dávda	bårås#dávdda
oppohat#dávda	åppuhat#dávdda
guskká#dávda	guská#dávdda
soga#dávda	sågå#dávdda
čotta#dávda	tjåttå#dávdda
moatte#lađas-dávda	moatte#ladás-dávdda
sávja#hávda	sávjja#hávdda
áhpe#hávda	áhpe#hávdda
bajá#rávda	bajá#rávdda
liegga#gráđđa	liegga#grádda
govdodat#gráđđa	gåvddudat#grádda
vuoigatvuođa#dieđa	vuojggatvuoda#dieda
láhka#dieđa	láhka#dieda
giella#dieđa	giella#dieda
stáhta#dieđa	stáhta#dieda
doložiid#dieđa	dålutjijd#dieda
riekte#dieđa	riekte#dieda
eatnan#dieđa	iednan#dieda
šaddo#dieđa	sjaddo#dieda
luonddu#dieđa	luondo#dieda
etno#dieđa	edno#dieda
dálkkas#dieđa	dálkas#dieda
servvodat#dieđa	servudat#dieda
servodat#dieđa	servvudat#dieda
álbmot#dieđa	álmmut#dieda
rišša#di^oksiida	rissja#di^åksijda
čitna#di^oksiida	tjidna#di^åksijda
karbon#di^oksiida	karbbun#di^åksijda
kárbon#di^oksiida	kárbbun#di^åksijda
čáhppes#buoidda	tjáhppes#buojda
johka#buoidda	jåhkå#buojda
muorra##dáidda	muorra##dájda
nuohtta#dáidda	nuohtta#dájda
bákte#dáidda	bákte#dájda
lihkadan#dáidda	lihkadan#dájda
máinnastan#dáidda	májnastan#dájda
huksen#dáidda	huksen#dájda
govva#dáidda	gåvvå#dájda
sahá#galda	sahá#gallda
fylkka#gielda	fylka#giellda
bondde#gielda	bånde#giellda
fylkkas#gielda	fylkas#giellda
isit#gielda	iset#giellda
čáhce#bilda	tjáhtse#billda
jeagel#bilda	jiegel#billda
biergo#bilda	bierggo#billda
ruovde#čuolda	ruovdde#tjuollda
soadje#čuolda	soadje#tjuollda
almmi#čuolda	alme#tjuollda
rieban#čuolda	rieban#tjuollda
ceakko#čuolda	tsiekko#tjuollda
doares#čuolda	doares#tjuollda
dásádat#čuolda	dásádat#tjuollda
rista#muolda	rissta#muollda
álggahan#stipeanda	álgahan#stipeanda
bargo#stipeanda	barggo#stipeanda
dáiddár#stipeanda	dájdár#stipeanda
čuođádas#sekunda	tjuodádas#sekunda
sveisen#elektroda	svejssen#elektroda
áitte#boardda	ájte#boarda
čavga#moardda	tjavgga#moarda
bátne#durdda	bádne#durda
fáhkka#jurdda	fáhkka#jurda
loahppa#jurdda	loahppa#jurda
gávpe#jurdda	gávppe#jurda
vuođđo#jurdda	vuoddo#jurda
netto#metoda	netto#metuda
plugga#čoavdda	plugga#tjoavda
nuohtta#čoavdda	nuohtta#tjoavda
sruva#čoavdda	sruva#tjoavda
náste#rabas#čoavdda	násste#rabás#tjoavda
giddehat#čoavdda	giddehat#tjoavda
goahte#beal#loavdda	goahte#biel#loavda
oađđen#loavdda	oadden#loavda
vilges#loavdda	vilgges#loavda
ovda#loavdda	åvddå#loavda
čoavje#deavdda	tjoavjje#dievda
fága#duovdda	fága#duovda
kultur#duovdda	kultur#duovda
báhkka#hávdda	báhkka#hávda
reatka#hávdda	rietka#hávda
muohta#hávdda	muohta#hávda
reatká#hávdda	rætká#hávda
doavtter#gráda	doavter#gráda
doavttir#gráda	doavter#gráda
celsius#gráda	tselssius#gráda
govčča#gráda	gåvtjå#gráda
dáidda#musea	dájda#musea
universitehta#musea	uneversitehta#musea
sámi#musea	sáme#musea
olgo#musea	ålggo#musea
olmmoš#vuoigatvuođa#komitea	ålmusj#vuojggatvuoda#kåmetea
girkolaš#komitea	girkkulasj#kåmetea
kirkolaš#komitea	kirkkulasj#kåmetea
gozihan#komitea	gåtsehan#kåmetea
bearrái#geahččan#komitea	bærráj#giehttjan#kåmetea
vuokta#skárfa	vuokta#skárffa
greikka#filosofa	grejka#filusofa
ulbmil#para^gráfa	ulmmel#para^gráfa
čáhce#draga	tjáhtse#draga
jápmin#hoagga	jábmen#hoagga
nuorta#biegga	nuortta#biegga
oalge#biegga	oalgge#biegga
oarje#biegga	oarjje#biegga
lulli#biegga	lulle#biegga
jorre#biegga	jårre#biegga
jorri#biegga	jårre#biegga
vuoste#biegga	vuosste#biegga
nuorta#davve#biegga	nuortta#davve#biegga
oarje#davve#biegga	oarjje#davve#biegga
orjješ#davve#biegga	årjesj#davve#biegga
orjješ#biegga	årjesj#biegga
beaivváš#biegga	bæjvásj#biegga
olggos#biegga	ålgus#biegga
jorgá#biegga	jårggå#biegga
novrra#biegga	nåvrå#biegga
eadni#heagga	ieddne#hiegga
eatni#heagga	iedne#hiegga
váive#heagga	vájvve#hiegga
sis#heagga	sis#hiegga
guovžža#leagga	guovtja#liegga
buksa#leagga	buksa#liegga
biipo#leagga	bijppo#liegga
jeaŋga#gilga	jieŋgga#gilgga
várre#gilga	várre#gilgga
uvja#guolga	uvjja#guolgga
gulbme#guolga	gulmme#guolgga
bihce#guolga	bihtse#guolgga
čáhce#guolga	tjáhtse#guolgga
njávve#guolga	njávve#guolgga
bostin#guolga	båssten#guolgga
ramas#guolga	ramás#guolgga
govččas#guolga	gåvtjås#guolgga
gárgiidan#gálga	gárggijdan#gálgga
gaska#sálga	gasska#sálgga
gieldda#válga	gielda#válgga
stivrra#válga	stivra#válgga
gieldda#stivrra#válga	gielda#stivra#válgga
válga#stivrra#válga	válgga#stivra#válgga
sáme#válga#stivrra#válga	sáme#válgga#stivra#válgga
lohkan#válga#stivrra#válga	låhkån#válgga#stivra#válgga
doarjja#stivrra#válga	doarja#stivra#válgga
giella#stivrra#válga	giella#stivra#válgga
skuvla#stivrra#válga	skuvlla#stivra#válgga
personála#stivrra#válga	perssunála#stivra#válgga
pro^grámma#stivrra#válga	pro^grámma#stivra#válgga
leana#stivrra#válga	liena#stivra#válgga
várre#stivrra#válga	várre#stivra#válgga
oktasaš#stivrra#válga	åktåsasj#stivra#válgga
interim#stivrra#válga	intterim#stivra#válgga
bajás#šaddan#stivrra#válga	bajás#sjaddan#stivra#válgga
jienastan#stivrra#válga	jienastan#stivra#válgga
guolástan#stivrra#válga	guolástan#stivra#válgga
meahcástan#stivrra#válga	mæhtsástan#stivra#válgga
eana#vuovdin#stivrra#válga	iena#vuovdden#stivra#válgga
eanan#vuovdin#stivrra#válga	ienan#vuovdden#stivra#válgga
nuppástuhttin#stivrra#válga	nuppástuhttin#stivra#válgga
váldo#stivrra#válga	válldo#stivra#válgga
girko#stivrra#válga	girkko#stivra#válgga
kirko#stivrra#válga	kirkko#stivra#válgga
fylkka#eana#doallo#stivrra#válga	fylka#iena#doallo#stivra#válgga
boazo#doallo#stivrra#válga	boatso#doallo#stivra#válgga
fylkka#boazo#doallo#stivrra#válga	fylka#boatso#doallo#stivra#válgga
guovllu#stivrra#válga	guovlo#stivra#válgga
kultur#stivrra#válga	kultur#stivra#válgga
orohat#stivrra#válga	åruhat#stivra#válgga
álbmot#stivrra#válga	álmmut#stivra#válgga
gávpot#stivrra#válga	gávpput#stivra#válgga
stuora#digge#válga	stuora#digge#válgga
stuorra#digge#válga	stuorra#digge#válgga
sáme#digge#válga	sáme#digge#válgga
sámi#digge#válga	sáme#digge#válgga
sáme#dikke#válga	sáme#dikke#válgga
njuolggo#válga	njuolgo#válgga
gorre#lohko#válga	gårre#låhko#válgga
gorre#lohku#válga	gårre#låhko#válgga
eanet#lohko#válga	ienet#låhko#válgga
eanet#lohku#válga	ienet#låhko#válgga
gorre#lohkko#válga	gårre#låhkko#válgga
ođđasis#válga	åddåsis#válgga
ođđa#válga	åddå#válgga
dolge#vuogga	dålgge#vuogga
rávrun#vuogga	rávrrun#vuogga
čotta#garga	tjåttå#gargga
giedde#sieđga	giedde#siergga
orde#sieđga	årdde#siergga
vuovde#sieđga	vuovdde#siergga
várre#sieđga	várre#siergga
ehtemas#sieđga	ehtemas#siergga
vilges#sieđga	vilgges#siergga
fiskes#sieđga	fisskes#siergga
ránes#sieđga	ránes#siergga
čáhppes#sieđga	tjáhppes#siergga
rukses#sieđga	rukses#siergga
daŋas#sieđga	daŋás#siergga
maŋeb#árga	maŋeb#árgga
maŋŋeb#árga	maŋŋeb#árgga
vuoss#árga	vuoss#árgga
ruossa#gárga	ruossa#gárgga
soahte#gárga	soahte#gárgga
stálo#njárga	stálo#njárgga
sáme#leavga	sáme#lievgga
sámi#leavga	sáme#lievgga
čohka#leavga	tjåhkå#lievgga
vándá#divga	vánddá#divgga
gáicca#čivga	gájtsa#tjivgga
spiinne#čivga	spijne#tjivgga
spiinni#čivga	spijne#tjivgga
lotte#čivga	låtte#tjivgga
rievssat#čivga	rievsat#tjivgga
ravke#čuovga	ravkke#tjuovgga
maŋŋe#čuovga	maŋŋe#tjuovgga
goazan#čuovga	gåtsan#tjuovgga
čuožžun#čuovga	tjuodtjun#tjuovgga
šleađgo#čuovga	slierggo#tjuovgga
šleađggo#čuovga	sliergo#tjuovgga
geaidno#čuovga	giejnno#tjuovgga
bálgges#čuovga	bálges#tjuovgga
guhkes#čuovga	guhkes#tjuovgga
johtolat#čuovga	jåhtulat#tjuovgga
mierká#čuovga	mierkká#tjuovgga
ovda#čuovga	åvddå#tjuovgga
idja#rávga	idja#rávgga
čáhce#rávga	tjáhtse#rávgga
maŋŋe#roaŋga	maŋŋe#roaŋgga
ovda#roaŋga	åvddå#roaŋgga
vuoste#ágga	vuosste#ágga
oaive#ágga	oajvve#ágga
mahkáš#ágga	mahkásj#ágga
sáide#lágga	sájdde#lágga
eana#laigga	iena#lajga
eanan#laigga	ienan#lajga
šaddan#vuolgga	sjaddan#vuolga
álgo#vuolgga	álggo#vuolga
spesiála#pedagoga	spesiála#pedágoga
sierra#pedagoga	sierra#pedágoga
erenoamáš#pedagoga	erenoamásj#pedágoga
earenoamáš#pedagoga	ierenoamásj#pedágoga
vásedin#pedagoga	vásedin#pedágoga
čáhce#juoga	tjáhtse#juoga
asfálta#betoŋga	asfálta#betuŋga
dearvvašvuođa#fága	diervasjvuoda#fága
musihkka#fága	musehkka#fága
gaska#fága	gasska#fága
sosiála#fága	sosial#fága
oahppo#suorge#fága	oahppo#suorgge#fága
sosial#fága	såsial#fága
eŋgelas#giel#fága	eŋggelas#giel#fága
real#fága	riel#fága
vuođđo#fága	vuoddo#fága
váldo#fága	válldo#fága
luonddu#fága	luondo#fága
boazo#doallo#fága	boatso#doallo#fága
kultur#muito#fága	kultur#mujtto#fága
biras#fága	birás#fága
servodat#fága	servvudat#fága
válga#lága	válgga#lága
joatkka#skuvla#lága	joatkka#skuvlla#lága
alkohola#lága	alkkuhola#lága
nuoskkidan#lága	nuoskedan#lága
bággo#čađahan#lága	bággo#tjadáhan#lága
luonddu#suodjalan#lága	luondo#suodjalan#lága
biebman#lága	biebbman#lága
miella#dearvvašvuođa#dikšun#lága	miella#diervasjvuoda#diksjun#lága
hálddahus#lága	háldahus#lága
ráves#olbmuid#oahpahus#lága	ráves#ålmmujd#oahpahus#lága
rávis#olbmuid#oahpahus#lága	ráves#ålmmujd#oahpahus#lága
mohtor#johtalus#lága	måhtur#jåhtålus#lága
ráŋggáštus#lága	ráŋgásjtus#lága
cázádat#lága	tsátsádat#lága
bievla#máđidja	bievlla#mádedja
heasta#máđidja	hiessta#mádedja
ruovde#máđidja	ruovdde#mádedja
dálve#máđidja	dálvve#mádedja
mohtor#gielká#máđidja	måhtur#gielkká#mádedja
čakča#idja	tjaktja#idja
gaska#idja	gasska#idja
galmma#idja	galma#idja
iđit#beale#idja	idet#biele#idja
eahket#beale#idja	iehket#biele#idja
dálve#idja	dálvve#idja
álgo#idja	álggo#idja
iđđes#idja	iddes#idja
eahkes#idja	iehkes#idja
iđđedis#idja	iddedis#idja
iđedis#idja	idedis#idja
iđit#idja	idet#idja
eahket#idja	iehket#idja
ruovde#guodja	ruovdde#guodja
rievdne#guodja	rievnne#guodja
upmol#guodja	ubmul#guodja
oažže#vuodja	oadtje#vuodja
ealli#vuodja	ielle#vuodja
šaddo#vuodja	sjaddo#vuodja
bohcco#vuodja	båhttso#vuodja
seavdda#hádja	sievda#hádja
čuvdda#hádja	tjuvda#hádja
buovnnja#hádja	buovnja#hádja
luvnnja#hádja	luvnja#hádja
gálbma#hádja	gálmma#hádja
váidna#hádja	vájnna#hádja
gáldna#hádja	gálnna#hádja
civnna#hádja	tsivna#hádja
guohca#hádja	guohtsa#hádja
moskku#hádja	måsko#hádja
pro^grámma#šládja	pro^grámma#sládja
eana#šládja	iena#sládja
muorra#šládja	muorra#sládja
dákta#šládja	dákta#sládja
nuohtta#šládja	nuohtta#sládja
muorje#šládja	muorjje#sládja
guolle#šládja	guolle#sládja
gordne#šládja	gårnne#sládja
bákte#šládja	bákte#sládja
eanan#šládja	ienan#sládja
njuorjo#šládja	njuorjjo#sládja
biebmo#šládja	biebbmo#sládja
fuođar#šládja	fuodar#sládja
sáme#timoteija	sáme#timutejja
lieđđe#gavja	liedde#gavjja
uksa#geavja	uksa#gievjja
ruošša#jievja	ruossja#jievjja
dielko#jievja	dielkko#jievjja
ránes#jievja	ránes#jievjja
muzet#jievja	mutset#jievjja
guzat#jievja	gutsát#jievjja
bealle#uvja	bielle#uvjja
govdo#káija	gåvddo#kájja
okta#seaŋga#latnja	akta#sæŋŋga#ladnja
cuohppa#latnja	tsuohppa#ladnja
lakta#latnja	lakta#ladnja
searve#gotte#latnja	siervve#gåtte#ladnja
duppal#latnja	duppal#ladnja
mášen#latnja	másjen#ladnja
mášin#latnja	másjen#ladnja
šálten#latnja	sjállten#ladnja
širan#latnja	sjirán#ladnja
rádjo#latnja	rádjo#ladnja
riššu#latnja	rissjo#ladnja
áibmo#latnja	ájmmo#ladnja
guovtte#olbmo#latnja	guovte#ålmmo#ladnja
ovtta#olbmo#latnja	åvtå#ålmmo#ladnja
okto#latnja	åkto#ladnja
kántor#latnja	kánttur#ladnja
kántur#latnja	kánttur#ladnja
seminár#latnja	semenár#ladnja
sanitár#latnja	sanetár#ladnja
čuomas#latnja	tjuomas#ladnja
sevdnjes#latnja	sevnnjes#ladnja
oahpahus#latnja	oahpahus#ladnja
liggehat#latnja	liggehat#ladnja
luohkká#latnja	luohkká#ladnja
jietna#satnja	jiedna#sadnja
veaike#šlietnja	viejkke#sliednja
ladjo#šlienja	ladjo#slienja
diehto#juohkin#kampánja	diehto#juohken#kamppánja
biras#gáhtten#kampánja	birás#gáhtten#kamppánja
reaida#doarjja	riejdda#doarja
foanda#doarjja	foandda#doarja
guovtte#gielalašvuođa#doarjja	guovte#gielalasjvuoda#doarja
boarisvuođa#doarjja	boaresvuoda#doarja
festivála#doarjja	fesstevála#doarja
doaibma#doarjja	doajmma#doarja
rámma#doarjja	rámma#doarja
loahppa#doarjja	loahppa#doarja
sierra#doarjja	sierra#doarja
preassa#doarjja	priessa#doarja
ruhta#doarjja	ruhta#doarja
stáhta#doarjja	stáhta#doarja
prošeakta#doarjja	prosjækta#doarja
hadde#doarjja	hadde#doarja
mánáid#gárde#doarjja	mánájd#gárdde#doarja
liige#doarjja	lijgge#doarja
duodje#doarjja	duodje#doarja
veahkke#doarjja	viehkke#doarja
lassi#doarjja	lasse#doarja
buohcce#doarjja	buohttse#doarja
heahte#doarjja	hiehte#doarja
maŋil#doarjja	maŋel#doarja
festivál#doarjja	fesstevál#doarja
buvttadan#doarjja	buvtadan#doarja
ovddidan#doarjja	åvdedan#doarja
fievrredan#doarjja	fievredan#doarja
hávdádan#doarjja	hávddádan#doarja
álggahan#doarjja	álgahan#doarja
fuolahan#doarjja	fuolahan#doarja
bargui#máhcahan#doarjja	bargguj#máhtsahan#doarja
jođihan#doarjja	jådehan#doarja
ásahan#doarjja	ásáhan#doarja
ássan#doarjja	ássan#doarja
investeren#doarjja	invvesteren#doarja
mánná#dikšun#doarjja	mánná#diksjun#doarja
vuođđo#doarjja	vuoddo#doarja
oahppo#doarjja	oahppo#doarja
buvttadan#vuoito#doarjja	buvtadan#vuojtto#doarja
kultur#doarjja	kultur#doarja
lágádus#doarjja	lágádus#doarja
girje#lágádus#doarjja	girjje#lágádus#doarja
oahpahus#doarjja	oahpahus#doarja
ealáhus#doarjja	æláhus#doarja
lotnolas#ealáhus#doarjja	lådnulas#æláhus#doarja
orohat#doarjja	åruhat#doarja
njuorjjo#šákša	njuorjo#sjáksja
jeagge#hoašša	jiegge#hoassja
jávre#hoašša	jávrre#hoassja
bealdo#hoašša	bielldo#hoassja
niito#hoašša	nijtto#hoassja
čuotnját#hoašša	tjuodnját#hoassja
gieres#bieža	gieres#bietja
árra#čakča	árra#tjaktja
ára#čakča	ára#tjaktja
maŋeš#čakča	maŋesj#tjaktja
geasádat#čakča	gæsádat#tjaktja
deagga#buokča	diegga#buoktja
uhca#buokča	uhtsa#buoktja
silke#buokča	silkke#buoktja
gožu#buokča	gåtjo#buoktja
čáhppes#buokča	tjáhppes#buoktja
deagga#njukča	diegga#njuktja
boallo#njukča	boallo#njuktja
čáhppes#njukča	tjáhppes#njuktja
čeavrá#ráhčča	tjævrrá#ráhttja
spihke#čuovža	spihke#tjuovttja
sálte#čuovža	sállte#tjuovttja
ládde#dáčča	ládde#dáttja
stuor#dáčča	stuor#dáttja
giega#njuovčča	giega#njuovtja
njálgga#njuovčča	njálga#njuovtja
njála#njuovčča	njála#njuovtja
suorre#njuovčča	suorre#njuovtja
vuotnán#njuovčča	vuodnán#njuovtja
doaŋgges#njuovčča	doaŋges#njuovtja
dolla#njuovčča	dållå#njuovtja
dola#njuovčča	dålå#njuovtja
suđi#dáža	sude#dátja
govva#montáša	gåvvå#månttåtja
čoarve#buovjja	tjoarvve#buovja
čáhce#ája	tjáhtse#ája
geaidno#čája	giejnno#tjája
duolba#čiehka	duolbba#tjiehka
máŋga#čiehka	máŋgga#tjiehka
birra#čiehka	birra#tjiehka
ruossa#čiehka	ruossa#tjiehka
supplemeanta#čiehka	supplemeanta#tjiehka
eksplemeanta#čiehka	eksplemeanta#tjiehka
vihtta#čiehka	vihtta#tjiehka
soadje#čiehka	soadje#tjiehka
njeallje#čiehka	njiellje#tjiehka
skuhče#čiehka	skuhtje#tjiehka
guoibme#čiehka	guojmme#tjiehka
njálbme#čiehka	njálmme#tjiehka
skužil#čiehka	skutjel#tjiehka
gierdo#čiehka	gierddo#tjiehka
njuolggo#čiehka	njuolgo#tjiehka
čuohppan#ávju#čiehka	tjuohppan#ávjjo#tjiehka
finju#čiehka	finjo#tjiehka
vinju#čiehka	vinjo#tjiehka
leappo#čiehka	lieppo#tjiehka
bálddalas#čiehka	báldalas#tjiehka
vuostálas#čiehka	vuosstálas#tjiehka
olles#čiehka	ålles#tjiehka
jorba#čiehka	jårbbå#tjiehka
golbma#čiehka	gålmmå#tjiehka
njuolggo#golbma#čiehka	njuolgo#gålmmå#tjiehka
hirsa#reahka	hirssa#riehka
ruovde#reahka	ruovdde#riehka
geađge#reahka	giergge#riehka
hearge#reahka	hiergge#riehka
goahte#reahka	goahte#riehka
lihtte#reahka	lihtte#riehka
vuodjen#reahka	vuodjen#riehka
ráido#reahka	rájddo#riehka
bargo#reahka	barggo#riehka
muohta#skohter#reahka	muohta#skåhter#riehka
rislá#reahka	rislá#riehka
bargiid#veahka	barggijd#viehka
almmi#veahka	alme#viehka
soahte#veahka	soahte#viehka
bargo#veahka	barggo#viehka
noasto#veahka	noassto#viehka
ceakko#kartotehka	tsiekko#karttutehka
gálvo#kartotehka	gálvvo#karttutehka
rájus#kartotehka	rájus#karttutehka
láskut#kartotehka	lásskut#karttutehka
gieldda#láhka	gielda#láhka
gielda#láhka	giellda#láhka
dearvvašvuođa#láhka	diervasjvuoda#láhka
bargo#dearvvašvuođa#láhka	barggo#diervasjvuoda#láhka
olmmoš#vuoigatvuođa#láhka	ålmusj#vuojggatvuoda#láhka
divššohas#vuoigatvuođa#láhka	divsjuhas#vuojggatvuoda#láhka
válga#láhka	válgga#láhka
joatkka#skuvla#láhka	joatkka#skuvlla#láhka
vuođđo#skuvla#láhka	vuoddo#skuvlla#láhka
alkohola#láhka	alkkuhola#láhka
alkohovla#láhka	alkkuhovla#láhka
