sálvi^a	sálvve^a
meahcce#biila#luodda	miehttse#bijla#luodda
ruovde#luodda	ruovdde#luodda
meahcce#luodda	miehttse#luodda
sisa#vuodjin#luodda	sisa#vuodjen#luodda
eret#vuodjin#luodda	eret#vuodjen#luodda
sisa#boahtin#luodda	sisa#boahten#luodda
njuolggo#luodda	njuolgo#luodda
ruovtto#luodda	ruovto#luodda
ruovttu#luodda	ruovto#luodda
geasáhat#luodda	gæsáhat#luodda
seahkála#johtolat#luodda	sæhkála#jåhtulat#luodda
muođđa	muodda
darda	dardda
oarda	oardda
čearda	tjierdda
giella#čearda	giella#tjierdda
indiána#čearda	inddiána#tjierdda
olmmoš#čearda	ålmusj#tjierdda
unnit#čearda	unnet#tjierdda
álbmot#čearda	álmmut#tjierdda
vuorda	vuordda
fárda	fárdda
dolge#fárda	dålgge#fárdda
geasse#fárda	giesse#fárdda
dálve#fárda	dálvve#fárdda
gihkan#fárda	gihkan#fárdda
molssa#fárda	målså#fárdda
gárda	gárdda
járda	járdda
duđđa	dudda
guđđa	gudda
šuđđa	sjudda
hoavda	hoavdda
gieldda#hoavda	gielda#hoavdda
bargo#veahka#hoavda	barggo#viehka#hoavdda
skuvla#hoavda	skuvlla#hoavdda
sosiála#hoavda	sosial#hoavdda
etáhta#hoavda	etáhta#hoavdda
arkiiva#hoavda	arkkijva#hoavdda
fylkka#vuovde#hoavda	fylka#vuovdde#hoavdda
fylkka#vuovdi#hoavda	fylka#vuovdde#hoavdda
veahkke#hoavda	viehkke#hoavdda
ekonomi#hoavda	ekunome#hoavdda
bákte#hoavda	bákte#hoavdda
personal#hoavda	perssunal#hoavdda
sosiál#hoavda	såsiál#hoavdda
márkan#jođihan#hoavda	márkkan#jådehan#hoavdda
hálddašan#hoavda	háldatjan#hoavdda
guolástan#hoavda	guolástan#hoavdda
eana#vuovdin#hoavda	iena#vuovdden#hoavdda
buollin#hoavda	buollen#hoavdda
ekspedišun#hoavda	ekspedisjun#hoavdda
bargo#hoavda	barggo#hoavdda
buohcce#dikšo#hoavda	buohttse#diksjo#hoavdda
báŋko#hoavda	báŋkko#hoavdda
boazo#doallo#hoavda	boatso#doallo#hoavdda
kino#hoavda	kino#hoavdda
geaidno#hoavda	giejnno#hoavdda
vearro#hoavda	vierro#hoavdda
byro#hoavda	byro#hoavdda
kultur#hoavda	kultur#hoavdda
hálddahus#hoavda	háldahus#hoavdda
doaimmahus#hoavda	doajmahus#hoavdda
ealáhus#hoavda	æláhus#hoavdda
ossodat#hoavda	åssudat#hoavdda
ravda	ravdda
láibe#ravda	lájbbe#ravdda
beavde#ravda	bievdde#ravdda
badje#ravda	badje#ravdda
almmi#ravda	alme#ravdda
albme#ravda	almme#ravdda
olgeš#ravda	ålggesj#ravdda
boagan#ravda	bågan#ravdda
siido#ravda	sijddo#ravdda
gierdo#ravda	gierddo#ravdda
álo#ravda	álo#ravdda
hálo#ravda	hálo#ravdda
ruito#ravda	rujtto#ravdda
gahččastat#ravda	gahttjastat#ravdda
gurut#ravda	gurut#ravdda
bajá#ravda	bajá#ravdda
savda	savdda
guovda	guovdda
ruovda	ruovdda
gáma#ruovda	gáma#ruovdda
vuovda	vuovdda
radde#vuovda	radde#vuovdda
badje#vuovda	badje#vuovdda
vuolle#vuovda	vuolle#vuovdda
manne#vuovda	manne#vuovdda
ovda#vuovda	åvddå#vuovdda
buvda	buvdda
krám#buvda	krám#buvdda
dálkkas#buvda	dálkas#buvdda
ruvda	ruvdda
bruvda	bruvdda
dávda	dávdda
biegga#dávda	biegga#dávdda
luhča#dávda	luhtja#dávdda
báhkka#dávda	báhkka#dávdda
spánska#dávda	spánsska#dávdda
healla#dávda	hiella#dávdda
substantiiva#dávda	substantijva#dávdda
čáhce#ruobbe#dávda	tjáhtse#ruobbe#dávdda
árbe#dávda	árbbe#dávdda
nevro#deahkke#dávda	nevrro#diehkke#dávdda
neuro#deahkke#dávda	neuro#diehkke#dávdda
guolle#dávda	guolle#dávdda
vuolle#dávda	vuolle#dávdda
leasme#dávda	liessme#dávdda
lađas#leasme#dávda	ladás#liessme#dávdda
vátne#dávda	vádne#dávdda
oaive#dávda	oajvve#dávdda
saŋáš#dávda	saŋásj#dávdda
spiral#dávda	spirál#dávdda
spihtál#dávda	spihtál#dávdda
ástan#dávda	ásstan#dávdda
jápmin#dávda	jábmen#dávdda
obbon#dávda	åbbun#dávdda
čidnon#dávda	tjiddnun#dávdda
golgo#dávda	gålggo#dávdda
boahkko#dávda	boahkko#dávdda
dielko#dávda	dielkko#dávdda
bárko#dávda	bárkko#dávdda
njoammu#dávda	njoammo#dávdda
boazo#dávda	boatso#dávdda
rohttu#dávda	råhtto#dávdda
sohkar#dávda	såhkår#dávdda
logahas#dávda	lågåhas#dávdda
rabies#dávda	rabies#dávdda
njuoskkes#dávda	njuoskes#dávdda
nuoskkes#dávda	nuoskes#dávdda
fiskes#dávda	fisskes#dávdda
geahpes#dávda	giehpes#dávdda
sis#dávda	sis#dávdda
moatte#lađas#dávda	moatte#ladás#dávdda
gánas#dávda	gánás#dávdda
boras#dávda	bårås#dávdda
oppohat#dávda	åppuhat#dávdda
guskká#dávda	guská#dávdda
soga#dávda	sågå#dávdda
čotta#dávda	tjåttå#dávdda
moatte#lađas-dávda	moatte#ladás-dávdda
hávda	hávdda
sávja#hávda	sávjja#hávdda
áhpe#hávda	áhpe#hávdda
lávda	lávdda
flávda	flávdda
rávda	rávdda
bajá#rávda	bajá#rávdda
skáđđa	skádda
spáđđa	spádda
ráđđa	rádda
gráđđa	grádda
liegga#gráđđa	liegga#grádda
govdodat#gráđđa	gåvddudat#grádda
dieđa	dieda
vuoigatvuođa#dieđa	vuojggatvuoda#dieda
láhka#dieđa	láhka#dieda
giella#dieđa	giella#dieda
stáhta#dieđa	stáhta#dieda
doložiid#dieđa	dålutjijd#dieda
riekte#dieđa	riekte#dieda
eatnan#dieđa	iednan#dieda
šaddo#dieđa	sjaddo#dieda
luonddu#dieđa	luondo#dieda
etno#dieđa	edno#dieda
dálkkas#dieđa	dálkas#dieda
servvodat#dieđa	servudat#dieda
servodat#dieđa	servvudat#dieda
álbmot#dieđa	álmmut#dieda
sámojeda	sámujeda
logopeda	lågupeda
mopeda	måpeda
hybrida	hybreda
smaragda	smarágda
iđa	ida
pyramida	pyrámida
snaidda	snajda
pyramiida	pyrámijda
hybriida	hybrijda
oksiida	åksijda
di^oksiida	di^åksijda
rišša#di^oksiida	rissja#di^åksijda
čitna#di^oksiida	tjidna#di^åksijda
karbon#di^oksiida	karbbun#di^åksijda
kárbon#di^oksiida	kárbbun#di^åksijda
indiviida	inddevijda
buoidda	buojda
čáhppes#buoidda	tjáhppes#buojda
johka#buoidda	jåhkå#buojda
dáidda	dájda
muorra##dáidda	muorra##dájda
nuohtta#dáidda	nuohtta#dájda
bákte#dáidda	bákte#dájda
lihkadan#dáidda	lihkadan#dájda
máinnastan#dáidda	májnastan#dájda
huksen#dáidda	huksen#dájda
govva#dáidda	gåvvå#dájda
váidda	vájda
sex-váidda	sex-vájda
gealdda	gielda
gieldda	gielda
galda	gallda
sahá#galda	sahá#gallda
hoalda	hoallda
gielda	giellda
fylkka#gielda	fylka#giellda
bondde#gielda	bånde#giellda
fylkkas#gielda	fylkas#giellda
isit#gielda	iset#giellda
bilda	billda
čáhce#bilda	tjáhtse#billda
jeagel#bilda	jiegel#billda
biergo#bilda	bierggo#billda
čuolda	tjuollda
ruovde#čuolda	ruovdde#tjuollda
soadje#čuolda	soadje#tjuollda
almmi#čuolda	alme#tjuollda
rieban#čuolda	rieban#tjuollda
ceakko#čuolda	tsiekko#tjuollda
doares#čuolda	doares#tjuollda
dásádat#čuolda	dásádat#tjuollda
muolda	muollda
rista#muolda	rissta#muollda
ulda	ullda
bálda	bállda
divideanda	divedeanda
álggahan#stipeanda	álgahan#stipeanda
bargo#stipeanda	barggo#stipeanda
dáiddár#stipeanda	dájdár#stipeanda
bindda	binda
čuođádas#sekunda	tjuodádas#sekunda
propagánda	pråpågánda
radikánda	radekánda
diskriminánda	diskreminánda
veranda	veránda
sveisen#elektroda	svejssen#elektroda
ruođa	ruoda
boardda	boarda
áitte#boardda	ájte#boarda
goardda	goarda
moardda	moarda
čavga#moardda	tjavgga#moarda
geardda	gierda
sirdda	sirda
vuordda	vuorda
durdda	durda
bátne#durdda	bádne#durda
jurdda	jurda
fáhkka#jurdda	fáhkka#jurda
loahppa#jurdda	loahppa#jurda
gávpe#jurdda	gávppe#jurda
vuođđo#jurdda	vuoddo#jurda
rekorda	rekurda
standárda	standdárda
várdda	várda
metoda	metuda
netto#metoda	netto#metuda
gavdda	gavda
skavdda	skavda
čoavdda	tjoavda
plugga#čoavdda	plugga#tjoavda
nuohtta#čoavdda	nuohtta#tjoavda
sruva#čoavdda	sruva#tjoavda
náste#rabas#čoavdda	násste#rabás#tjoavda
giddehat#čoavdda	giddehat#tjoavda
loavdda	loavda
goahte#beal#loavdda	goahte#biel#loavda
oađđen#loavdda	oadden#loavda
vilges#loavdda	vilgges#loavda
ovda#loavdda	åvddå#loavda
deavdda	dievda
čoavje#deavdda	tjoavjje#dievda
bivdda	bivda
duovdda	duovda
fága#duovdda	fága#duovda
kultur#duovdda	kultur#duovda
duvdda	duvda
hávdda	hávda
báhkka#hávdda	báhkka#hávda
reatka#hávdda	rietka#hávda
muohta#hávdda	muohta#hávda
reatká#hávdda	rætká#hávda
šuhkoláda	sjuhkuláda
šohkoláda	sjåhkuláda
šukkoláda	sjukkuláda
šukuláda	sjukuláda
marináda	marenáda
karbonáda	karbbunáda
doavtter#gráda	doavter#gráda
doavttir#gráda	doavter#gráda
celsius#gráda	tselssius#gráda
govčča#gráda	gåvtjå#gráda
master^gráda	masster^gráda
ambassáda	ambbassáda
boađa	båda
nomáda	nåmåda
trofea	tråfea
dáidda#musea	dájda#musea
universitehta#musea	uneversitehta#musea
sámi#musea	sáme#musea
olgo#musea	ålggo#musea
komitea	kåmetea
olmmoš#vuoigatvuođa#komitea	ålmusj#vuojggatvuoda#kåmetea
girkolaš#komitea	girkkulasj#kåmetea
kirkolaš#komitea	kirkkulasj#kåmetea
gozihan#komitea	gåtsehan#kåmetea
bearrái#geahččan#komitea	bærráj#giehttjan#kåmetea
disko^grafa	dissko^grafa
etno^grafa	edno^grafa
šeaffa	sjieffa
šeriffa	sjereffa
táriffa	táreffa
gáifa	gájffa
alfa	alffa
šearfa	sjierffa
skárfa	skárffa
vuokta#skárfa	vuokta#skárffa
širáffa	sjiráffa
antroposofa	antruposofa
filosofa	filusofa
greikka#filosofa	grejka#filusofa
allomorfa	allumorfa
te^osofa	te^åsufa
ulbmil#para^gráfa	ulmmel#para^gráfa
čáhce#draga	tjáhtse#draga
kollega	kållega
jápmin#hoagga	jábmen#hoagga
nuorta#biegga	nuortta#biegga
oalge#biegga	oalgge#biegga
oarje#biegga	oarjje#biegga
lulli#biegga	lulle#biegga
jorre#biegga	jårre#biegga
jorri#biegga	jårre#biegga
vuoste#biegga	vuosste#biegga
nuorta#davve#biegga	nuortta#davve#biegga
oarje#davve#biegga	oarjje#davve#biegga
orjješ#davve#biegga	årjesj#davve#biegga
orjješ#biegga	årjesj#biegga
beaivváš#biegga	bæjvásj#biegga
olggos#biegga	ålgus#biegga
jorgá#biegga	jårggå#biegga
novrra#biegga	nåvrå#biegga
deagga	diegga
heagga	hiegga
eadni#heagga	ieddne#hiegga
eatni#heagga	iedne#hiegga
váive#heagga	vájvve#hiegga
sis#heagga	sis#hiegga
leagga	liegga
guovžža#leagga	guovtja#liegga
buksa#leagga	buksa#liegga
biipo#leagga	bijppo#liegga
šleagga	sliegga
treagga	triegga
ceagga	tsiegga
taiga	tajgga
teaiga	tiejgga
veaiga	viejgga
siiga	sijgga
jalga	jalgga
oalga	oalgga
boalga	boalgga
ealga	ielgga
fealga	fielgga
skielga	skielgga
mielga	mielgga
gilga	gilgga
jeaŋga#gilga	jieŋgga#gilgga
várre#gilga	várre#gilgga
guolga	guolgga
uvja#guolga	uvjja#guolgga
gulbme#guolga	gulmme#guolgga
bihce#guolga	bihtse#guolgga
čáhce#guolga	tjáhtse#guolgga
njávve#guolga	njávve#guolgga
bostin#guolga	båssten#guolgga
ramas#guolga	ramás#guolgga
govččas#guolga	gåvtjås#guolgga
snuolga	snuolgga
dálga	dálgga
gálga	gálgga
gárgiidan#gálga	gárggijdan#gálgga
sálga	sálgga
gaska#sálga	gasska#sálgga
tálga	tálgga
válga	válgga
gieldda#válga	gielda#válgga
stivrra#válga	stivra#válgga
gieldda#stivrra#válga	gielda#stivra#válgga
válga#stivrra#válga	válgga#stivra#válgga
sáme#válga#stivrra#válga	sáme#válgga#stivra#válgga
lohkan#válga#stivrra#válga	låhkån#válgga#stivra#válgga
doarjja#stivrra#válga	doarja#stivra#válgga
giella#stivrra#válga	giella#stivra#válgga
skuvla#stivrra#válga	skuvlla#stivra#válgga
personála#stivrra#válga	perssunála#stivra#válgga
pro^grámma#stivrra#válga	pro^grámma#stivra#válgga
leana#stivrra#válga	liena#stivra#válgga
várre#stivrra#válga	várre#stivra#válgga
oktasaš#stivrra#válga	åktåsasj#stivra#válgga
interim#stivrra#válga	intterim#stivra#válgga
bajás#šaddan#stivrra#válga	bajás#sjaddan#stivra#válgga
jienastan#stivrra#válga	jienastan#stivra#válgga
guolástan#stivrra#válga	guolástan#stivra#válgga
meahcástan#stivrra#válga	mæhtsástan#stivra#válgga
eana#vuovdin#stivrra#válga	iena#vuovdden#stivra#válgga
eanan#vuovdin#stivrra#válga	ienan#vuovdden#stivra#válgga
nuppástuhttin#stivrra#válga	nuppástuhttin#stivra#válgga
váldo#stivrra#válga	válldo#stivra#válgga
girko#stivrra#válga	girkko#stivra#válgga
kirko#stivrra#válga	kirkko#stivra#válgga
fylkka#eana#doallo#stivrra#válga	fylka#iena#doallo#stivra#válgga
boazo#doallo#stivrra#válga	boatso#doallo#stivra#válgga
fylkka#boazo#doallo#stivrra#válga	fylka#boatso#doallo#stivra#válgga
guovllu#stivrra#válga	guovlo#stivra#válgga
kultur#stivrra#válga	kultur#stivra#válgga
orohat#stivrra#válga	åruhat#stivra#válgga
álbmot#stivrra#válga	álmmut#stivra#válgga
gávpot#stivrra#válga	gávpput#stivra#válgga
stuora#digge#válga	stuora#digge#válgga
stuorra#digge#válga	stuorra#digge#válgga
sáme#digge#válga	sáme#digge#válgga
sámi#digge#válga	sáme#digge#válgga
sáme#dikke#válga	sáme#dikke#válgga
njuolggo#válga	njuolgo#válgga
gorre#lohko#válga	gårre#låhko#válgga
gorre#lohku#válga	gårre#låhko#válgga
eanet#lohko#válga	ienet#låhko#válgga
eanet#lohku#válga	ienet#låhko#válgga
gorre#lohkko#válga	gårre#låhkko#válgga
ođđasis#válga	åddåsis#válgga
ođđa#válga	åddå#válgga
cuogga	tsuogga
dolge#vuogga	dålgge#vuogga
rávrun#vuogga	rávrrun#vuogga
garga	gargga
čotta#garga	tjåttå#gargga
goarga	goargga
toarga	toargga
dearga	diergga
fearga	fiergga
jearga	jiergga
čearga	tjiergga
šleađga	sliergga
sieđga	siergga
giedde#sieđga	giedde#siergga
orde#sieđga	årdde#siergga
vuovde#sieđga	vuovdde#siergga
várre#sieđga	várre#siergga
ehtemas#sieđga	ehtemas#siergga
vilges#sieđga	vilgges#siergga
fiskes#sieđga	fisskes#siergga
ránes#sieđga	ránes#siergga
čáhppes#sieđga	tjáhppes#siergga
rukses#sieđga	rukses#siergga
daŋas#sieđga	daŋás#siergga
buođga	buorgga
duorga	duorgga
guorga	guorgga
árga	árgga
áđga	árgga
maŋeb#árga	maŋeb#árgga
maŋŋeb#árga	maŋŋeb#árgga
vuoss#árga	vuoss#árgga
gárga	gárgga
ruossa#gárga	ruossa#gárgga
soahte#gárga	soahte#gárgga
njárga	njárgga
stálo#njárga	stálo#njárgga
sáđga	sárgga
cugga	tsugga
leavga	lievgga
sáme#leavga	sáme#lievgga
sámi#leavga	sáme#lievgga
čohka#leavga	tjåhkå#lievgga
divga	divgga
vándá#divga	vánddá#divgga
čivga	tjivgga
gáicca#čivga	gájtsa#tjivgga
spiinne#čivga	spijne#tjivgga
spiinni#čivga	spijne#tjivgga
lotte#čivga	låtte#tjivgga
rievssat#čivga	rievsat#tjivgga
čuovga	tjuovgga
ravke#čuovga	ravkke#tjuovgga
maŋŋe#čuovga	maŋŋe#tjuovgga
goazan#čuovga	gåtsan#tjuovgga
čuožžun#čuovga	tjuodtjun#tjuovgga
šleađgo#čuovga	slierggo#tjuovgga
šleađggo#čuovga	sliergo#tjuovgga
geaidno#čuovga	giejnno#tjuovgga
bálgges#čuovga	bálges#tjuovgga
guhkes#čuovga	guhkes#tjuovgga
johtolat#čuovga	jåhtulat#tjuovgga
mierká#čuovga	mierkká#tjuovgga
ovda#čuovga	åvddå#tjuovgga
hávga	hávgga
rávga	rávgga
idja#rávga	idja#rávgga
čáhce#rávga	tjáhtse#rávgga
roaŋga	roaŋgga
maŋŋe#roaŋga	maŋŋe#roaŋgga
ovda#roaŋga	åvddå#roaŋgga
po^eŋga	po^eŋgga
po^eaŋga	po^ieŋgga
geaŋga	gieŋgga
vuoste#ágga	vuosste#ágga
oaive#ágga	oajvve#ágga
mahkáš#ágga	mahkásj#ágga
sáide#lágga	sájdde#lágga
laigga	lajga
eana#laigga	iena#lajga
eanan#laigga	ienan#lajga
áigga	ájga
vuolgga	vuolga
šaddan#vuolgga	sjaddan#vuolga
álgo#vuolgga	álggo#vuolga
álgga	álga
válgga	válga
paviljonga	paveljonga
pedagoga	pedágoga
spesiála#pedagoga	spesiála#pedágoga
sierra#pedagoga	sierra#pedágoga
erenoamáš#pedagoga	erenoamásj#pedágoga
earenoamáš#pedagoga	ierenoamásj#pedágoga
vásedin#pedagoga	vásedin#pedágoga
čáhce#juoga	tjáhtse#juoga
njeađgga	njierga
čeargga	tjierga
šleađgga	slierga
sárgga	sárga
sentrifuga	sentrefuga
joavgga	joavga
kardaŋga	karddaŋga
kavriŋga	kavrreŋga
gávriŋga	gávrreŋga
šárgoŋga	sjárgguŋga
balkoŋga	balkkuŋga
balloŋga	balluŋga
betoŋga	betuŋga
asfálta#betoŋga	asfálta#betuŋga
dearvvašvuođa#fága	diervasjvuoda#fága
musihkka#fága	musehkka#fága
gaska#fága	gasska#fága
sosiála#fága	sosial#fága
oahppo#suorge#fága	oahppo#suorgge#fága
sosial#fága	såsial#fága
eŋgelas#giel#fága	eŋggelas#giel#fága
real#fága	riel#fága
vuođđo#fága	vuoddo#fága
váldo#fága	válldo#fága
luonddu#fága	luondo#fága
boazo#doallo#fága	boatso#doallo#fága
kultur#muito#fága	kultur#mujtto#fága
biras#fága	birás#fága
servodat#fága	servvudat#fága
varjága	varjjága
válga#lága	válgga#lága
joatkka#skuvla#lága	joatkka#skuvlla#lága
alkohola#lága	alkkuhola#lága
nuoskkidan#lága	nuoskedan#lága
bággo#čađahan#lága	bággo#tjadáhan#lága
luonddu#suodjalan#lága	luondo#suodjalan#lága
biebman#lága	biebbman#lága
miella#dearvvašvuođa#dikšun#lága	miella#diervasjvuoda#diksjun#lága
hálddahus#lága	háldahus#lága
ráves#olbmuid#oahpahus#lága	ráves#ålmmujd#oahpahus#lága
rávis#olbmuid#oahpahus#lága	ráves#ålmmujd#oahpahus#lága
mohtor#johtalus#lága	måhtur#jåhtålus#lága
ráŋggáštus#lága	ráŋgásjtus#lága
cázádat#lága	tsátsádat#lága
arkipelága	arkkepelága
šlága	slága
meaddja	mieddja
máđidja	mádedja
bievla#máđidja	bievlla#mádedja
heasta#máđidja	hiessta#mádedja
ruovde#máđidja	ruovdde#mádedja
dálve#máđidja	dálvve#mádedja
mohtor#gielká#máđidja	måhtur#gielkká#mádedja
deadja	diedja
teadja	tiedja
čakča#idja	tjaktja#idja
gaska#idja	gasska#idja
galmma#idja	galma#idja
iđit#beale#idja	idet#biele#idja
eahket#beale#idja	iehket#biele#idja
dálve#idja	dálvve#idja
álgo#idja	álggo#idja
iđđes#idja	iddes#idja
eahkes#idja	iehkes#idja
iđđedis#idja	iddedis#idja
iđedis#idja	idedis#idja
iđit#idja	idet#idja
eahket#idja	iehket#idja
ruovde#guodja	ruovdde#guodja
rievdne#guodja	rievnne#guodja
upmol#guodja	ubmul#guodja
oažže#vuodja	oadtje#vuodja
ealli#vuodja	ielle#vuodja
šaddo#vuodja	sjaddo#vuodja
bohcco#vuodja	båhttso#vuodja
seavdda#hádja	sievda#hádja
čuvdda#hádja	tjuvda#hádja
buovnnja#hádja	buovnja#hádja
luvnnja#hádja	luvnja#hádja
gálbma#hádja	gálmma#hádja
váidna#hádja	vájnna#hádja
gáldna#hádja	gálnna#hádja
civnna#hádja	tsivna#hádja
guohca#hádja	guohtsa#hádja
moskku#hádja	måsko#hádja
prog.šládja	pråg.sjládja
šládja	sládja
pro^grámma#šládja	pro^grámma#sládja
eana#šládja	iena#sládja
muorra#šládja	muorra#sládja
dákta#šládja	dákta#sládja
nuohtta#šládja	nuohtta#sládja
muorje#šládja	muorjje#sládja
guolle#šládja	guolle#sládja
gordne#šládja	gårnne#sládja
bákte#šládja	bákte#sládja
eanan#šládja	ienan#sládja
njuorjo#šládja	njuorjjo#sládja
biebmo#šládja	biebbmo#sládja
fuođar#šládja	fuodar#sládja
veaja	vieja
sáme#timoteija	sáme#timutejja
skuolja	skuoljja
gálja	gáljja
fearja	fierjja
šuorja	sjuorjja
árja	árjja
gárja	gárjja
gavja	gavjja
lieđđe#gavja	liedde#gavjja
geavja	gievjja
uksa#geavja	uksa#gievjja
jievja	jievjja
ruošša#jievja	ruossja#jievjja
dielko#jievja	dielkko#jievjja
ránes#jievja	ránes#jievjja
muzet#jievja	mutset#jievjja
guzat#jievja	gutsát#jievjja
givja	givjja
rivja	rivjja
uvja	uvjja
bealle#uvja	bielle#uvjja
suvja	suvjja
káija	kájja
govdo#káija	gåvddo#kájja
spráija	sprájja
gerilja	gerelja
šállja	sjállja
okta#seaŋga#latnja	akta#sæŋŋga#ladnja
cuohppa#latnja	tsuohppa#ladnja
lakta#latnja	lakta#ladnja
searve#gotte#latnja	siervve#gåtte#ladnja
duppal#latnja	duppal#ladnja
mášen#latnja	másjen#ladnja
mášin#latnja	másjen#ladnja
šálten#latnja	sjállten#ladnja
širan#latnja	sjirán#ladnja
rádjo#latnja	rádjo#ladnja
riššu#latnja	rissjo#ladnja
áibmo#latnja	ájmmo#ladnja
guovtte#olbmo#latnja	guovte#ålmmo#ladnja
ovtta#olbmo#latnja	åvtå#ålmmo#ladnja
okto#latnja	åkto#ladnja
kántor#latnja	kánttur#ladnja
kántur#latnja	kánttur#ladnja
seminár#latnja	semenár#ladnja
sanitár#latnja	sanetár#ladnja
čuomas#latnja	tjuomas#ladnja
sevdnjes#latnja	sevnnjes#ladnja
oahpahus#latnja	oahpahus#ladnja
liggehat#latnja	liggehat#ladnja
luohkká#latnja	luohkká#ladnja
jietna#satnja	jiedna#sadnja
veaike#šlietnja	viejkke#sliednja
skuotnja	skuodnja
suotnja	suodnja
skátnja	skádnja
spátnja	spádnja
sátnja	sádnja
šlienja	slienja
ladjo#šlienja	ladjo#slienja
gavdnja	gavnnja
njoavdnja	njoavnnja
njivdnja	njivnnja
kampánnja	kamppánnja
njivnnja	njivnja
kampánja	kamppánja
diehto#juohkin#kampánja	diehto#juohken#kamppánja
biras#gáhtten#kampánja	birás#gáhtten#kamppánja
kastánja	kasstánja
doarjja	doarja
reaida#doarjja	riejdda#doarja
foanda#doarjja	foandda#doarja
guovtte#gielalašvuođa#doarjja	guovte#gielalasjvuoda#doarja
boarisvuođa#doarjja	boaresvuoda#doarja
festivála#doarjja	fesstevála#doarja
doaibma#doarjja	doajmma#doarja
rámma#doarjja	rámma#doarja
loahppa#doarjja	loahppa#doarja
sierra#doarjja	sierra#doarja
preassa#doarjja	priessa#doarja
ruhta#doarjja	ruhta#doarja
stáhta#doarjja	stáhta#doarja
