sálvi^a	sálvve^a
čuovža	tjuovttja
ruvža	ruvttja
ávža	ávttja
rávža	rávttja
dáčča	dáttja
njuovčča	njuovtja
dávžža	dávtja
dáža	dátja
dánskka-dáža	dánska-dátja
láža	látja
garáša	garátja
etáša	etátja
pistáša	pisstátja
váža	vátja
buovjja	buovja
hallika	halleka
medi^ateahka	mede^ateahka
cinemateahka	tsinemateahka
medi^eteahka	mede^eteahka
pinakoteahka	pinákoteahka
kinoteahka	kinuteahka
apoteahka	aputeahka
hypoteahka	hyputeahka
glyptoteahka	glyptuteahka
artoteahka	arttuteahka
kartoteahka	karttuteahka
fototeahka	fåtuteahka
čiehka	tjiehka
reahka	riehka
veahka	viehka
medi^atehka	mede^atehka
diskotehka	disskutehka
apotehka	aputehka
kartotehka	karttutehka
apteaika	apteajka
apoteaika	aputeajka
baška	bassjka
gieška	giessjka
njiška	njissjka
gáška	gássjka
háška	hássjka
čiekka	tjiekka
hallikka	hallekka
šahkka	sjahkka
borbehkka	bårbbehkka
kubihkka	kubehkka
grafihkka	grafehkka
trafihkka	trafehkka
logihkka	lågehkka
deahkka	diehkka
jeahkka	jiehkka
šeahkka	sjiehkka
leahkka	liehkka
bleahkka	bliehkka
pleahkka	pliehkka
treahkka	triehkka
seahkka	siehkka
ciehkka	tsiehkka
teahkka	tiehkka
neilihkka	nejlehkka
replihkka	replehkka
duplihkka	duplehkka
suplihkka	suplehkka
hydra^ulihkka	hydra^ulehkka
kolihkka	kålehkka
mimihkka	mimehkka
rytmihkka	rytmehkka
komihkka	kåmehkka
panihkka	panehkka
klinihkka	klinehkka
poli^klinihkka	påle^klinehkka
teknihkka	teknehkka
arnihkka	arnehkka
kronihkka	krånehkka
epihkka	epehkka
tropihkka	tråpehkka
topihkka	tåpehkka
fabrihkka	fabrehkka
rubrihkka	rubrehkka
fenrihkka	fenrehkka
feanrihkka	fienrehkka
metrihkka	metrehkka
lyrihkka	lyrehkka
persihkka	perssehkka
musihkka	musehkka
fysihkka	fysehkka
statihkka	statehkka
etihkka	etehkka
po^etihkka	po^etehkka
klitihkka	klitehkka
kritihkka	kritehkka
praktihkka	praktehkka
taktihkka	taktehkka
dia^lektihkka	dia^lektehkka
e^kliptihkka	e^kliptehkka
optihkka	åptehkka
plastihkka	plasstehkka
mystihkka	mysstehkka
antihkka	anttehkka
gotihkka	gåtehkka
juridihkka	juredihkka
heraldihkka	heráldihkka
metodihkka	metudihkka
pedagogihkka	pedágogihkka
didaktihkka	didáktihkka
ornamentihkka	årnåmentihkka
semantihkka	semántihkka
romantihkka	råmåntihkka
barohkka	baruhkka
šáhkka	sjáhkka
anoráhkka	anuráhkka
baika	bajkka
eaika	iejkka
beaika	biejkka
leaika	liejkka
streaika	striejkka
steaika	stiejkka
veaika	viejkka
greika	grejkka
apo^teika	apo^tejkka
ap^teika	ap^tejkka
biika	bijkka
liika	lijkka
piika	pijkka
riika	rijkka
stiika	stijkka
guoika	guojkka
čuoika	tjuojkka
áika	ájkka
háika	hájkka
njáika	njájkka
šalka	sjalkka
doalka	doalkka
hoalka	hoalkka
bielka	bielkka
stielka	stielkka
bilka	bilkka
filka	filkka
gilka	gilkka
skilka	skilkka
dulka	dulkka
tulka	tulkka
fylka	fylkka
dálka	dálkka
fálka	fálkka
gálka	gálkka
hálka	hálkka
kálka	kálkka
skálka	skálkka
goarka	goarkka
koarka	koarkka
šearka	sjierkka
mearka	mierkka
vearka	vierkka
gurka	gurkka
hurka	hurkka
árka	árkka
šárka	sjárkka
párka	párkka
spárka	spárkka
várka	várkka
navka	navkka
spivka	spivkka
juovka	juovkka
šuovka	sjuovkka
suovka	suovkka
cuovka	tsuovkka
duvka	duvkka
hávka	hávkka
lávka	lávkka
hoaŋka	hoaŋkka
beaŋka	bieŋkka
skeaŋka	skieŋkka
leaŋka	lieŋkka
fiŋka	fiŋkka
liŋka	liŋkka
miŋka	miŋkka
siŋka	siŋkka
skuŋka	skuŋkka
luŋka	luŋkka
muŋka	muŋkka
puŋka	puŋkka
ruŋka	ruŋkka
áŋka	áŋkka
báŋka	báŋkka
dáŋka	dáŋkka
háŋka	háŋkka
ráŋka	ráŋkka
skráŋka	skráŋkka
táŋka	táŋkka
váŋka	váŋkka
pøŋka	pøŋkka
cealkka	tsielka
rock-funka	råck-funka
oligarka	ålegarka
dárkka	dárka
gaskka	gaska
lesbiska	lesbeska
mastiska	massteska
asteriska	assteriska
bumeránskka	bumeránska
gaska	gasska
easka	iesska
beaska	biesska
jieska	jiesska
leaska	liesska
reaska	riesska
diska	disska
riska	risska
ránska	ránsska
kioska	kiosska
buoska	buosska
luoska	luosska
guska	gusska
čuska	tjusska
kuska	kusska
šluska	slusska
ruska	russka
báska	básska
háska	hásska
máska	másska
fáskka	fáska
hávkka	hávka
preambela	priembbela
eala	iela
parallela	parállela
arkipela	arkkepela
koppela	kåppela
epitela	epetela
maila	majla
e-maila	e-majla
beaila	biejla
feaila	fiejla
leaila	liejla
seaila	siejla
biila	bijla
vegetabiila	vegetabijla
stabiila	stabijla
diila	dijla
krokodiila	kråkudijla
fiila	fijla
bifiila	bifijla
heterofiila	heterofijla
pedofiila	pedufijla
homofiila	håmufijla
profiila	pråfijla
miila	mijla
domisiila	dåmesijla
eksiila	eksijla
fissiila	fissijla
missiila	missijla
stensiila	stenssijla
konsiila	kånssijla
fossiila	fåssijla
klusiila	klusijla
tiila	tijla
pro^sjektiila	pro^sjektijla
reptiila	reptijla
stiila	stijla
tekstiila	tekstijla
ventiila	venttijla
sviila	svijla
bordealla	bårddealla
citadealla	tsitádealla
modealla	mådealla
uskealla	usskealla
parallealla	parállealla
karamealla	karámealla
ritornealla	riturnealla
personealla	perssunealla
propealla	pråpealla
kastealla	kasstealla
kli^entealla	kli^enttealla
kartealla	karttealla
sportealla	spårttealla
hotealla	håtealla
flotealla	flåtealla
motealla	måtealla
novealla	nåvealla
šoalla	sjoalla
sigilla	sigella
seremoni^ealla	seremone^iella
healla	hiella
šiella	sjiella
spealla	spiella
sealla	siella
stealla	stiella
vealla	viella
promilla	pråmella
morella	mårella
basilla	basella
novella	nåvella
krokodilla	kråkudilla
šilla	sjilla
čilla	tjilla
kodisilla	kådesilla
codisilla	tsådesilla
kodicilla	kådetsilla
prohtokolla	pråhtukolla
protokolla	pråtukolla
parasolla	parásolla
kontrolla	kåntrulla
skatolla	skatulla
gavla	gavlla
bievla	bievlla
geavla	gievlla
keavla	kievlla
lievla	lievlla
seavla	sievlla
sivla	sivlla
guovla	guovlla
muovla	muovlla
juvla	juvlla
čuvla	tjuvlla
kuvla	kuvlla
skuvla	skuvlla
muvla	muvlla
hávla	hávlla
klorofylla	klårufylla
šálla	sjálla
korporálla	kårppurálla
amfisálla	amfesálla
kolesterola	kålesterola
gásterola	gássterola
symbola	symbbula
tombola	tåmbbula
idola	idula
modula	mådula
mongola	mångula
parola	parula
rucola	rutsula
sievlla	sievla
njivlla	njivla
alkohovla	alkkuhovla
guovlla	guovla
čuvlla	tjuvla
kuvlla	kuvla
pistovla	pisstuvla
lávlla	lávla
sávlla	sávla
makromolekyla	makrumolekyla
molekyla	målekyla
alkyla	alkkyla
kalkyla	kalkkyla
symbála	symbbála
verbála	verbbála
kannibála	kannebála
skandála	skanddála
potensiála	påtensiála
tertiála	terttiála
šála	sjála
čála	tjála
radikála	radekála
kjemikála	kjemekála
kemikála	kemekála
musikála	musekála
desimála	desemála
ordinála	årddenála
kriminála	krimenála
terminála	termenála
nominála	nåmenála
urinála	urenála
arsenála	arssenála
finala	finála
semifinála	semefinála
originála	åreginála
ab^originála	ab^åreginála
konditionála	kånddetionála
konjunktionála	kånjunktionála
visuála	visoála
audio-visuála	audio-visoála
seksuála	seksoála
rituála	ritoála
partisihpála	parttesihpála
admirála	admerála
inte^grála	intte^grála
korporála	kårppurála
versála	verssála
kapitála	kapetála
hospitála	håsspetála
kvartála	kvarttála
festivála	fesstevála
feastivála	fiesstevála
infinitivála	infenitivála
modála	mådåla
pokála	påkåla
vokála	våkåla
morála	måråla
portála	pårttåla
kapitéla	kapetéla
japma	jabma
doapma	doabma
goapma	goabma
šloapma	sloabma
sapma	sabma
leabma	liebbma
lubma	lubbma
skábma	skábbma
deapma	diebma
jiepma	jiebma
leapma	liebma
liepma	liebma
čipma	tjibma
duopma	duobma
čuopma	tjuobma
luopma	luobma
ruopma	ruobma
suopma	suobma
gupma	gubma
hupma	hubma
jupma	jubma
šlupma	slubma
volubma	vålubma
spupma	spubma
hápma	hábma
šlápma	slábma
rápma	rábma
rekvi^ema	rekve^ema
modema	mådema
morfema	mårffema
zero-morfema	tsero-mårffema
problema	pråblema
te^orema	te^årema
krysantema	krysántema
giimma	gijma
galmma	galma
meamma	miemma
steamma	stiemma
doaibma	doajmma
heaibma	hiejmma
hieibma	hiejmma
reaibma	riejmma
seaibma	siejmma
liibma	lijmma
miibma	mijmma
synoniibma	synunijmma
riibma	rijmma
misseriibma	misserijmma
siibma	sijmma
tiibma	tijmma
sáibma	sájmma
jealbma	jielmma
skealbma	skielmma
filbma	filmma
čuolbma	tjuolmma
bálbma	bálmma
hálbma	hálmma
málbma	málmma
pálbma	pálmma
sálbma	sálmma
foarbma	foarmma
hoarbma	hoarmma
stoarbma	stoarmma
bearbma	biermma
šearbma	sjiermma
leađbma	liermma
tearbma	tiermma
hirbma	hirmma
fuorbma	fuormma
suorbma	suormma
reforbma	refurmma
gárbma	gármma
kárbma	kármma
lárbma	lármma
alarbma	alármma
alárbma	alármma
šlárbma	slármma
nárbma	nármma

sjiisma	sjijssma
orgasma	årggåsma
algoritma	algguritma
petrole^uma	petrule^uma
kondoma	kåndduma
kostyma	kåsstyma
amalgáma	amálgáma
madapoláma	madápoláma
meiráma	mejráma
oama	åma
domeana	dåmeana
moreana	måreana
gatna	gadna
oatna	oadna
loatna	loadna
spoatna	spoadna
ratna	radna
vuodna	vuoddna
rádna	ráddna
bietna	biedna
jietna	jiedna
leatna	liedna
lietna	liedna
itna	idna
čitna	tjidna
duotna	duodna
juotna	juodna
čuotna	tjuodna
suotna	suodna
vuotna	vuodna
gutna	gudna
hátna	hádna
skátna	skádna
látna	ládna
altádna	alltádna
halogena	halugena
hydrogena	hydrugena
nitrogena	nitrugena
mutagena	mutágena
eana	iena
beana	biena
neana	niena
kveana	kviena
porselena	pårsselena
poly^etylena	påly^etylena
acetylena	atsetylena
fenomena	fenumena
domena	dåmena
karina	karena
morena	mårena
designa	desegna
kantiina	kanttijna
viinna	vijna
vuoinna	vuojna
báinna	bájna
anteanna	antteanna
beanna	bienna
peanna	pienna
kapteaidna	kapteajnna
heaidna	hiejnna
meaidna	miejnna
lidoka^iidna	liduka^ijnna
kaffe^iidna	kaffe^ijnna
koffe^iidna	kåffe^ijnna
kase^iidna	kase^ijnna
te^iidna	te^ijnna
prote^iidna	pråte^ijnna
hero^iidna	hero^ijnna
ligro^iidna	ligro^ijnna
koka^iidna	kåkå^ijnna
trombiidna	tråmbbijnna
turbiidna	turbbijnna
oksyhemo^globiidna	åksyhemo^glåbijnna
gardiidna	garddijnna
sardiidna	sarddijnna
gárdiidna	gárddijnna
olefiidna	ålefijnna
morfiidna	mårffijnna
parafiidna	paráfijnna
mašiidna	masjijnna
mášiidna	másjijnna
auberšiidna	aubertjijnna
pigskiidna	pigskijnna
liidna	lijnna
meskaliidna	messkalijnna
turmaliidna	turmalijnna
adrenaliidna	adrenalijnna
gobeliidna	gåbelijnna
aniliidna	anelijnna
vaseliidna	vaselijnna
porseliidna	pårsselijnna
musseliidna	musselijnna
plastiliidna	plasstelijnna
veliidna	velijnna
kliidna	klijnna
krystalliidna	krysstallijnna
vanilliidna	vanellijnna
penicilliidna	penetsillijnna
kaoliidna	kaolijnna
disipliidna	diseplijnna
popliidna	påplijnna
porsliidna	pårslijnna
tramboliidna	trambbulijnna
globuliidna	glåbulijnna
gamma^globuliidna	gamma^glåbulijnna
tuberkuliidna	tuberkulijnna
renoliidna	renulijnna
insuliidna	inssulijnna
formaliidna	fårmålijnna
miidna	mijnna
amiidna	amijnna
indamiidna	inddamijnna
kamiidna	kamijnna
amfetamiidna	amfetamijnna
histamiidna	hisstamijnna
palmiidna	palmijnna
karmiidna	karmijnna
termiidna	termijnna
albumiidna	albbumijnna
alumiidna	alumijnna
duralumiidna	durálumijnna
melamiidna	melámijnna
vitamiidna	vitámijnna
cy^aniidna	tsy^anijnna
kaniidna	kanijnna
ligniidna	lignijnna
kiniidna	kinijnna
tanniidna	tannijnna
lupiidna	lupijnna
atropiidna	atrupijnna
supiidna	supijnna
ste^ariidna	ste^arijnna
mandariidna	manddarijnna
fariidna	farijnna
margariidna	marggarijnna
sakkariidna	sakkarijnna
mariidna	marijnna
nektariidna	nektarijnna
antifebriidna	anttefebrijnna
misseriidna	misserijnna
skriidna	skrijnna
sriidna	srijnna
dekstriidna	dekstrijnna
tamburiidna	tambburijnna
syriidna	syrijnna
máriidna	márijnna
rosmariidna	råssmårijnna
medisiidna	medesijnna
offisiidna	åffesijnna
resiidna	resijnna
vaksiidna	vaksijnna
tyroksiidna	tyruksijnna
váksiidna	váksijnna
di^oksiidna	di^åksijnna
toksiidna	tåksijnna
appelsiidna	appelsijnna
pepsiidna	pepsijnna
bensiidna	benssijnna
streptomyciidna	streptumytsijnna
dusiidna	dusijnna
rusiidna	rusijnna
magasiidna	magásijnna
bombasiidna	båmbbåsijnna
latiidna	latijnna
gratiidna	gratijnna
palmitiidna	palmetijnna
terppetiidna	terpetijnna
kitiidna	kitijnna
pektiidna	pektijnna
klementiidna	klementijnna
serpentiidna	serppentijnna
terpentiidna	terppentijnna
kantiidna	kanttijnna
nikotiidna	nikutijnna
rutiidna	rutijnna
kelatiidna	kelátijnna
keratiidna	kerátijnna
viidna	vijnna
pingviidna	pingvijnna
vuoidna	vuojnna
báidna	bájnna
aldna	alnna
doardna	doarnna
lego-doardna	lego-doarnna
toardna	toarnna
bierdna	biernna
deardna	diernna
feardna	fiernna
veardna	viernna
buordna	buornna
duordna	duornna
suordna	suornna
urdna	urnna
árdna	árnna
kloavdna	kloavnna
rievdna	rievnna
telefovdna	telefovnna
gramofovdna	gramufovnna
grammofovdna	grammufovnna
mikrofovdna	mikrufovnna
bataljovdna	batáljovnna
kommišovdna	kåmmetjovnna
pearmišovdna	piermetjovnna
elektrovdna	elektrovnna
makarovdna	makárovnna
garnisovdna	garnesovnna
vuovdna	vuovnna
uvdna	uvnna
regi^uvdna	rege^uvnna
skorpi^uvdna	skårppe^uvnna
bárduvdna	bárdduvnna
telefuvdna	telefuvnna
trifovdna	trifuvnna
mikrofuvdna	mikrufuvnna
religiuvdna	relegiuvnna
skorpiuvdna	skårppiuvnna
spiuvdna	spiuvnna
skorpijuvdna	skårppijuvnna
bataljuvdna	batáljuvnna
peršovdna	persåvnnå
peršuvdna	persåvnnå
ruvdna	ruvnna
kruvdna	kruvnna
natrovdna	natrovnna
sitrovdna	sitrovnna
sitruvdna	sitrovnna
elektruvdna	elektrovnna
makaruvdna	makárovnna
persovdna	perssuvnna
persuvdna	perssuvnna
elvovdna	elvvuvnna
hávdna	hávnna
vávdna	vávnna
kalsedona	kalssedona
antifona	anttefona
polygona	pålygona
konsearna	kånssearna
konserna	kånsserna
ikona	ikuna
kommuna	kåmmuna
hormona	hårmuna
indiána	inddiána
meridiána	merediána
vulkána	vulkkána
šamána	sjamána
tulipána	tulepána
marsipána	marssepána
tulpána	tulppána
altána	alltána
selvána	selvvána
orgána	organa
orkána	årkkåna
romána	råmåna
sex-romána	sex-råmåna
geahpa	giehpa
čiehpa	tjiehpa
horoskohpa	håruskohpa
biotohpa	biotuhpa
proto^tyhpa	pråto^tyhpa
šliippa	slijpa
lašpa	lasjpa
albumpa	albbumpa
čiehppa	tjiehppa
cihppa	tsihppa
cuohppa	tsuohppa
deaipa	diejppa
greaipa	griejppa
teaipa	tiejppa
greipa	grejppa
teipa	tejppa
diipa	dijppa
skiipa	skijppa
rom^skiipa	råm^skijppa
šliipa	slijppa
tiipa	tijppa
háipa	hájppa
skoalpa	skoalppa
vilpa	vilppa
geampa	giemppa
šlimpa	slimppa
bumpa	bumppa
skumpa	skumppa
šlumpa	slumppa
pumpa	pumppa
rumpa	rumppa
stumpa	stumppa
dámpa	dámppa
kámpa	kámppa
rámpa	rámppa
krámpa	krámppa
stámpa	stámppa
goarpa	goarppa
skoarpa	skoarppa
soarpa	soarppa
šearpa	sjierppa
sirpa	sirppa
árpa	árppa
gárpa	gárppa
hárpa	hárppa
várpa	várppa
bispa	bisspa
dispa	disspa
ráspa	rásspa
miljoneara	miljjuneara
mišuneara	misjuneara
višuneara	visjuneara
miššoneara	missjuneara
kommišuneara	kåmmetjuneara
offiseara	åffeseara
militeara	mileteara
brigadera	brigádera
grenadera	grenádera
safira	safera
beara	biera
atmo^sfeara	atmo^sfiera
átmo^sfeara	átmo^sfiera
tropo^sfeara	tråpo^sfiera
stráhto^sfeara	stráhto^sfiera
jeara	jiera
peara	piera
ampera	amppera
opera	åpera
leaira	liejra
giira	gijra
bankiira	bankijra
satiira	satijra
reviira	revijra
guoira	guojra
láira	lájra
endofora	enddufora
eksofora	eksufora
anafora	anáfora
metafora	metáfora
humaniora	humániora
revisora	revesora
observatora	åbservatora
redaktora	redáktora
investora	invvestora
amatora	amátora
šnjoarra	sjnjoarra
gearra	gierra
kearra	kierra
mearra	mierra
searra	sierra
vearra	vierra
cihrra	tsihrra
šnjirra	sjnjirra
širra	sjirra
šurra	sjurra
gievra	gievrra
čievra	tjievrra
kievra	kievrra
čivra	tjivrra
sivra	sivrra
stivra	stivrra
duvra	duvrra
luvra	luvrra
muvra	muvrra
snuvra	snuvrra
tuvra	tuvrra
gávra	gávrra
lávra	lávrra
rávra	rávrra
šárra	sjárra
bismárra	bissmárra
proletárra	pråletárra
jánovárra	jánuvárra
pedi^atra	pedi^atra
psyki^atra	psyki^atra
inšenevra	insjenevra
rešissevra	resjessevra
operatevra	åperatevra
inspektevra	insspektevra
konduktevra	kåndduktevra
redaktevra	redáktevra
raportevra	rapurtevra
amatevra	amátevra
sivrra	sivra
rámbuvra	rámbbuvra
suvrra	suvra
klavi^atuvra	klave^atuvra
kandidatuvra	kanddedatuvra
nomen^klatuvra	nåmen^klatuvra
temperatuvra	tempperatuvra
tastatuvra	tasstatuvra
partituvra	parttetuvra
korrektuvra	kårrektuvra
sektovra	sektuvra
arkitektuvra	arkketektuvra
konjunktuvra	kånjunktuvra
kultuvra	kulltuvra
dosentuvra	dåsentuvra
kvestuvra	kvesstuvra
kantovra	kåntåvrrå
kantuvra	kåntåvrrå
gántuvra	gánttuvra
kántuvra	kánttuvra
ligatuvra	ligátuvra
prosedyra	pråsedyra
brošyra	bråsjyra
martyra	marttyra
šáŋra	sjáŋra
barbára	barbbára
denara	denára
seminára	semenára
lavuára	lavoára
honorára	hånurára
cára	tsára
sitara	sitára
kommentára	kåmmentára
dokumentára	dokumentára
inventára	invventára
antikvára	anttekvára
boara	båra
goara	gåra
ambassadøra	ambbassadøra
rešissøra	resjessøra
observatøra	åbservatøra
redaktøra	redáktøra
im^portøra	im^pårttøra
majonesa	majunesa
syntesa	synttesa
foto^syntesa	fåto^synttesa
hypotesa	hyputesa
paradiisa	parádijsa
buliisa	bulijsa
analiisa	análijsa
boliisa	bålijsa
poliisa	pålijsa
advertiisa	advertijsa
aviisa	avijsa
áviisa	ávijsa
sáissa	sájsa
indeaksa	inddeaksa
kardeaksa	karddeaksa
prefiksa	prefeksa
affiksa	affeksa
suffiksa	suffeksa
geaksa	gieksa
heaksa	hieksa
čeaksa	tjieksa
keaksa	kieksa
re^fleaksa	re^flieksa
seaksa	sieksa
mastriksa	mastreksa
čiksa	tjiksa
paradoksa	parádoksa
sardonyksa	sarddunyksa
syntáksa	synttáksa
fonotáksa	fånutáksa
hypotáksa	hyputáksa
paratáksa	parátáksa
impulsa	imppulsa
tendeansa	tenddeansa
kondeansa	kånddeansa
intelligeansa	inttelligeansa
cotangeansa	tsåtångeansa
ekvivaleansa	ekvevaleansa
dispeansa	disspeansa
konfereansa	kånfereansa
interfereansa	intterfereansa
eksisteansa	eksesteansa
poteansa	påteansa
konsekveansa	kånssekveansa
ambivalensa	ambbevalensa
interferensa	intterferensa
kompetensa	kåmppetensa
eksistensa	eksestensa
amanuensa	amánuensa
provinsa	pråvensa
annonsa	annunsa
responsa	resspunsa
signifikánsa	signefikánsa
balansa	balánsa
ambulánsa	ambbulánsa
assonánsa	assunánsa
dissonánsa	dissunánsa
konsonánsa	kånssunánsa
konferánsa	kånferánsa
toleránsa	tåleránsa
resistánsa	resestánsa
restánsa	resstánsa
instánsa	insstánsa
románsa	råmånsa
symbiosa	symbbiosa
aprikosa	aprekosa
sovhoosa	såvhoosa
ellipsa	ellepsa
turnipsa	turnepsa
šlipsa	slipsa
konkursa	kånkursa
diskursa	disskursa
gárssa	gársa
prinseassa	prinsseassa
proseassa	pråseassa
eassa	iessa
re^greassa	re^griessa
kon^greassa	kån^griessa
preassa	priessa
streassa	striessa
abskissa	abskessa
remissa	remessa
premissa	premessa
narsissa	narssessa
kompromissa	kåmprumissa
cissa	tsissa
beisa	bejssa
heaisa	hiejssa
gneaisa	gniejssa
sneaisa	sniejssa
sveisa	svejssa
dia^liisa	dia^lijssa
niisa	nijssa
riisa	rijssa
kriisa	krijssa
epi^kriisa	epe^krijssa
viisa	vijssa
máisa	májssa
balsa	balssa
palsa	palssa
healsa	hielssa
válsa	válssa
goamsa	goamssa
jámsa	jámssa
čámsa	tjámssa
prese^ansa	prese^anssa
kon^grueansa	kån^grueanssa
