                                   100%
0%>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
guhkkit	guhkket
beavddimusas	bievdemusas
beavddimussii	bievdemussij
beavdelaččas	bievddelattjas
beavdelažžii	bievddeladtjij
beavdeleappos	bievddeleappos
beavdelebbui	bievddelebbuj
beavdelii	bievddelij
beavdeliidda	bievddelijdda
beavdelis	bievddeles
beavžžabealde	bievtjabealde
beavžžabeale	bievtjabeale
beallemuttus	biellemuttus
bellolagaid	bellulagajd
belohahkii	beluhahkij
belos	belus
bessejassii	bessejassij
bevnnot	bevnut
biđgolagaid	birggulagajd
bieđđogárremiidda	bieddugárremijdda
bieđđogárremiin	bieddugárremijn
bieđgguid	biergujd
bieggaráigge	bieggarájgge
biehčamahttá	biehtjamahttá
biergonaga	bierggunaga
bikšut	biksjut
bilkkul	bilkul
binnoš	binnusj
binnánaš	binnánasj
binnážiidda	binnátjijdda
birolaččat	birulattjat
biroláhkai	biruláhkaj
birrabonjil	birrabonjel
birračáhcái	birratjáhtsáj
birračázis	birratjátses
birrageavlái	birrageavláj
birrajagi	birrajage
birrajagiid	birrajagijd
birrajorbalassii	birrajorbalassij
birrajorbodahkii	birrajorbodahkij
birralis	birrales
birrasii	birrasij
birrasit	birraset
birzzeoasat	birtseoasat
birzzit	birtset
biššos	bissjus
bivdinmađe	bivddenmade
bivššil	bivsjel
boaittobealde	boajtubealde
boaittobeale	boajtubeale
boaittobeallai	boajtubeallaj
boakkil	boakkel
boalččil	boaltjel
boarásmanbeaivái	boarásmanbeajváj
boarástunbeaivái	boarástunbeajváj
boaššolačča	boassjulattja
boaššolaččas	boassjulattjas
boaššolažžii	boassjuladtjij
boaššoleappos	boassjuleappos
boaššolebbui	boassjulebbuj
boaššolii	boassjulij
boaššoliidda	boassjulijdda
boaššolis	boassjules
boaššul	boassjul
boasttogežiid	boastugetjijd
boastut	boasstut
boatnjáš	boadnjásj
boađi-boađi	boadi-boade
bođđolagaid	båddulagajd
bođohagaid	båduhagajd
bođuid	bådujd
bodnelačča	båddnelattja
bodnelaččas	båddnelattjas
bodnelažžii	båddneladtjij
bodnelii	båddnelij
bodneliidda	båddnelijdda
bodnelis	båddneles
bodnil	båddnel
bogil	bågel
bolkolagaid	bålkkulagajd
bonjil	bånjel
borrančalbmái	bårråntjalmmáj
borranlanjas	bårrånlanjas
boššobealde	båssjubealde
boššobeale	båssjubeale
boššobeallai	båssjubeallaj
boššolii	båssjulij
boššoliidda	båssjulijdda
boššolis	båssjules
botnibui	bådnebuj
botnibuidda	bådnebujdda
botnibus	bådnebus
botnješ	bådnjesj
botnjut	bådnjut
buđđosii	buddusij
buđđosis	budduses
buhtismeahttusit	buhtesmeahttuset
buncut	bunttsut
buođđagasas	buoddagasas
buođđagassii	buoddagassij
buohkanassii	buohkanassij
buohtalagaid	buohtalagajd
buokčagasas	buoktjagasas
buokčagassii	buoktjagassij
buorbot	buorbbut
buorot	buorut
buoril	buorel
buorremealgadii	buorremealgadij
buošágit	buotjáget
buresláhkai	buresláhkaj
báđus	bádus
báhcigassii	báhtsegassij
báhcimassii	báhtsemassij
báhtui	báhtuj
báidegerddiid	bájddegerddijd
báidelanjas	bájddelanjas
báidelatnjii	bájddelatnjij
báifáhkka	bájffáhkka
báikkohagaid	bájkuhagajd
báikkuid	bájkujd
báikkálaččat	bájkálattjat
bálbálddalagaid	bálbbálddalagajd
báldal	bálldal
báldalagaid	bálldalagajd
báldda	bálda
bálddaid	báldajd
bálddalaga	báldalaga
bálddalagaid	báldalagajd
bálddalasjulggiid	báldalasjulggijd
bálddas	báldas
bálddoalgái	báldoalgáj
bálggesráigge	bálgesrájgge
báljo	báljjo
bálloguotti	bálluguotte
bárrahii	bárrahij
bárrahiin	bárrahijn
bárrahis	bárrahes
bártneš	bárnesj
bátnegáskki	bádnegáske
bážas	bátjás
čađa	tjada
čađat	tjadát
čahpunaga	tjahpunaga
čahpunassii	tjahpunassij
čakčačoavjjis	tjaktjatjoavjjes
čakčat	tjaktjat
čalbmegeaiddi	tjalmmegeajdde
čalbmegeaiddus	tjalmmegeajddus
čalbmehálgui	tjalmmehálguj
čalbmeráigge	tjalmmerájgge
čalmmineahkamis	tjalmeneahkames
čalmmálassii	tjalmálassij
čalmmát	tjalmát
časkkát	tjaskát
čavččabealde	tjavtjabealde
čavččabeallai	tjavtjabeallaj
čavga	tjavgga
čeagŋut	tjieggŋut
čeahpálagaid	tjæhpálagajd
čearggosdávttiid	tjiergusdávttijd
čearssil	tjiersel
čeavládit	tjævlládet
čeavlájit	tjævllájet
čezeš	tjetsesj
čieđus	tjiedus
čiegal	tjiegal
čiehkagasas	tjiehkagasas
čiekŋalabbui	tjiegŋalabbuj
čiekŋalasas	tjiegŋalasas
čielga	tjielgga
čielggosnaga	tjielgusnaga
čieročalbmái	tjierutjalmmáj
čihččii	tjihttjij
čikŋagasas	tjigŋagasas
čikŋagassii	tjigŋagassij
čikŋosis	tjigŋuses
čiktagasas	tjiktagasas
čiktagassii	tjiktagassij
čiktasii	tjiktasij
čiktasis	tjiktases
čillil	tjillel
čipperájes	tjipperájes
čirssil	tjirsel
čoahki	tjoahke
čoahkis	tjoahkes
čoahkkái	tjoahkkáj
čoalmmil	tjoalmel
čohkal	tjåhkål
čohkalassii	tjåhkålassij
čohkut	tjåhkut
čomal	tjåmål
čomastahkii	tjåmåstahkij
čomil	tjåmel
čorga	tjårggå
čorpmadievva	tjårmådievva
njálmmedievva	njálmedievva
čorrut	tjårrut
čoruid	tjårujd
čorul	tjårul
čuččot	tjuttjut
čuidnut	tjujnnut
čulle	tjulle
čuoččat	tjuottjat
čuohteveardde	tjuohteveardde
čuollut	tjuollut
čuožžut	tjuodtjut
čálalaččat	tjálálattjat
čálihussii	tjálehussij
čállatbokte	tjállatbokte
čállosupmái	tjállusupmáj
čárvvočalmmiid	tjárvutjalmijd
caggagasas	tsaggagasas
caggagassii	tsaggagassij
caggasii	tsaggasij
caggasis	tsaggases
caggut	tsaggut
cakkasnjálmme	tsakkasnjálme
cakkasnjálmmiid	tsakkasnjálmijd
ceaggut	tsieggut
ceahkkálagaid	tsæhkkálagajd
ceahkkásii	tsæhkkásij
ceahkkásis	tsæhkkáses
cikkil	tsikkel
cikkilmasat	tsikkelmasat
cikkit	tsikket
cirkkil	tsirkel
coahkásit	tsoahkáset
cuoccit	tsuottset
curbmut	tsurmmut
curpmil	tsurmel
dabbelaš	dabbelasj
dabbelii	dabbelij
dabbelis	dabbeles
dabbil	dabbel
dađe	dade
dađi	dade
dađibahábut	dadebahábut
dađis	dades
dađistaga	dadestaga
daiggo	dajgo
daigo	dajggo
dainna	dajna
dainnalágiin	dajnalágijn
dáinnalágiin	dájnalágijn
dainnánaga	dajnánaga
dakkaviđe	dakkavide
dakkaviđi	dakkavide
daninassii	danenassij
dappil	dappel
daška	dassjka
dasalassin	dasálassen
dassái	dassáj
dassážii	dassátjij
dassážiidda	dassátjijdda
dassážis	dassátjes
daste	dasste
dasto	dassto
dastožii	dasstutjij
dasttá	dastá
dasttán	dastán
dasttánaga	dastánaga
davibui	davebuj
davibuidda	davebujdda
davibuin	davebujn
davibus	davebus
davil	davel
davvelačča	davvelattja
davvelaččas	davvelattjas
davvelažžii	davveladtjij
davvelebbui	davvelebbuj
davveleppožii	davveleppotjij
davveleppožis	davveleppotjes
davvelii	davvelij
davveliidda	davvelijdda
davvelis	davveles
davvelit	davvelet
davvenuortin	davvenuorten
davveoarjin	davveoarjen
davvil	davvel
davvin	davven
davvinnuortan	davvennuortan
davvinoarjin	davvenoarjen
davábeallai	davábeallaj
davágeahčai	davágeahtjaj
davágeahčen	davágeahtjen
davágeaže	davágeatje
deahtta	diehtta
deaivása	dæjvvása
dearpamassii	dierppamassij
dearvan	diervvan
deatnoráigge	diednurájgge
deavddihussii	dievdehussij
degomat	degumat
dehal	dehál
deike	dejkke
deikke	dejke
desto	dessto
diebbelaš	diebbelasj
diebbelii	diebbelij
diebbeliidda	diebbelijdda
diebbelis	diebbeles
diebbil	diebbel
dieđinge	diedenge
dieđun	diedun
dieđus	diedus
dieđusge	diedusge
diedoppe	dieduppe
die-doppe	die-dåppe
doppe	dåppe
diehpil	diehpel
diehtevassii	diehtevassij
diehttavassii	diehttavassij
diehttevassii	diehttevassij
dieiggo	diejgo
dieinnalágiin	diejnalágijn
dieinnán	diejnán
dieinnánaga	diejnánaga
dieppit	dieppet
dieppil	dieppel
dieppimustá	dieppemustá
diesttánaga	diestánaga
diibmoviissaid	dijmmuvijssajd
diibmá	dijmmá
diimmuhala	dijmuhala
dimaiddámaid	dimájddámajd
dimiiddámiid	dimijddámijd
divdna	divnna
divohussii	divuhussij
divuhussii	divuhussij
divvosupmái	divvusupmáj
divvumassii	divvumassij
do-doppe	do-dåppe
doaisttážii	doajstátjij
doamadoama	dåmadoama
doamaiddoamaid	dåmajddoamajd
doaresbeallai	doaresbeallaj
doaresčáhcái	doarestjáhtsáj
doaresguvlui	doaresguvluj
doarggatgaccaid	doargatgattsajd
doarvái	doarvváj
dobbelaš	dåbbelasj
dobbeleappos	dåbbeleappos
dobbelebbui	dåbbelebbuj
dobbelii	dåbbelij
dobbeliidda	dåbbelijdda
dobbelin	dåbbelen
dobbelis	dåbbeles
dobbil	dåbbel
dođe	dåde
dodohko	dåduhko
dohkiiddohkiid	dåhkijddohkijd
dohkkemeahttumit	dåhkkemeahttumet
dohko	dåhko
dohko	dåhko
dohkálaččat	dåhkålattjat
doiggo	dåjgo
doigo	dåjggo
doiste	dåjsste
doisttážii	dåjståtjij
dokko	dåkko
dolggal	dålgål
dolin	dålen
dolkamassii	dålkkåmassij
dolágo	dålågo
dolátdovle	dålåtdovle
doŋgget	dåŋget
doppe	dåppe
doppit	dåppet
doppil	dåppel
doppimustá	dåppemustá
dovddolaččat	dåvdulattjat
dovdduheamet	dåvduheamet
dovdomassii	dåvddumassij
dovdovaččat	dåvdduvattjat
dovko	dåvkko
dovle	dåvlle
duhkodagas	duhkudagas
duhkodahkii	duhkudahkij
duhtamassii	duhtamassij
duhtameahttumit	duhtameahttumet
dulppil	dulpel
dumis	dumes
duŋgadassii	duŋggadassij
duobbelii	duobbelij
duobbeliidda	duobbelijdda
duobbelis	duobbeles
duobbil	duobbel
duođabearis	duodabeares
duođai	duodaj
duođaid	duodajd
duođalaččat	duodalattjat
duođas	duodas
duođasin	duodasen
duođi	duode
duogi	duoge
duogis	duoges
duogábeallai	duogábeallaj
duohččagasas	duohttjagasas
duohččagassii	duohttjagassij
duohččasii	duohttjasij
duohččasis	duohttjases
duohkin	duohken
duohkot	duohkut
duohkotdeike	duohkutdejke
duohtaváimmus	duohtavájmus
duoidduohko	duojdoohko
duoiggo	duojgo
duoigo	duojggo
duoihuodjin	duojhoodjen
duoinnánaga	duojnánaga
duojetduodjin	duojetduodjen
duojásii	duojásij
duojážassii	duojátjassij
duojážii	duojátjij
duokkotdákko	duokkutdákko
duokkot	duokkut
duolbut	duolbbut
duolluiddálluid	duollujddállujd
duoppit	duoppet
duoppil	duoppel
duoppildáppil	duoppeldáppel
duoppimustá	duoppemustá
duosttán	duostán
duosttánaga	duostánaga
duosttáš	duostásj
duovkko	duovko
duppallohkkii	duppallohkkij
dušše	dussje
duššefal	dussjefal
duššiid	dussjijd
duššái	dussjáj
duššás	dussjás
duvle	duvlle
dábbelaš	dábbelasj
dábbelebbui	dábbelebbuj
dábbelii	dábbelij
dábbeliidda	dábbelijdda
dábbelis	dábbeles
dábbil	dábbel
dáđi	dáde
dádalle	dádálle
dádeike	dádejke
dáđimielde	dádemielde
dáiggo	dájgo
dáigá	dájggá
dáinnánaga	dájnánaga
dájis	dájes
dákkaviđe	dákkavide
dákkaviđi	dákkavide
dálveleappos	dálvveleappos
dálvelebbui	dálvvelebbuj
dálvelii	dálvvelij
dálveliidda	dálvvelijdda
dálvelis	dálvveles
dálvet	dálvvet
dálvit	dálvvet
dálvvás	dálvás
dánu	dáno
dáppit	dáppet
dáppibui	dáppebuj
dáppibuidda	dáppebujdda
dáppibuin	dáppebujn
dáppibus	dáppebus
dáppil	dáppel
dáppimustá	dáppemustá
dárbahassii	dárbbahassij
dárbbašmeahttumit	dárbasjmeahttumet
dárbbuhemet	dárbuhemet
dássálagaid	dássálagajd
dássážii	dássátjij
dásttánaga	dástánaga
dávjjetdávjá	dávjetdávjá
dávjálagaid	dávjjálagajd
eahkedassii	iehkedassij
eahkes	iehkes
eahketbeallai	iehketbeallaj
eahpegovttolaš	iehpegovttolasj
eahpenjuolga	iehpenjuolga
eahpenjuolgga	iehpenjuolgga
eaktodáhtos	iektudáhtos
eaktodáhtolaččat	iektudáhtolattjat
eallinaga	iellenaga
eambbo	iembo
eambo	iembbo
eambu	iembbo
eamidaš	iemedasj
eamis	iemes
eandalii	ienddalij
eandalit	ienddalet
eanebu	ienebu
eanebuš	ienebusj
eanetbealát	ienetbealát
eanáš	ænásj
earaládje	ieraládje
earalágan	ieralágan
earaláhkai	ieraláhkaj
earaláhkai	ieraláhkaj
earasadjái	ierasadjáj
earasajes	ierasajes
earemuđui	ieremuduj
eareliiggánit	ierelijggánet
earenoamážit	ierenoamátjet
earenomážit	ierenomátjet
earotbealde	ierutbealde
earotbeallai	ierutbeallaj
earretláhkái	ierretláhkáj
earrotbealde	ierrutbealde
earrotbeallai	ierrutbeallaj
earránassii	ærránassij
earáládje	æráládje
earáládje	æráládje
earálágan	ærálágan
earáláhkai	æráláhkaj
earáláhkái	æráláhkáj
earáláhkái	æráláhkáj
easka	iesska
easkabáliid	iesskabálijd
easká	æsská
easkka	ieska
eatnat	iednat
eatnoráiggi	iednurájgge
eavttoheamet	ievtuheamet
ednoš	eddnusj
egeš	egesj
ein	ejn
eisege	ejssege
eivakto	ejvvakto
eivaktu	ejvvaktu
eivve	ejve
eksplisihtalaččat	eksplesihtalattjat
erenoamáš	erenoamásj
erenoamážit	erenoamátjet
erenoamažit	erenoamatjet
erenomážit	erenomátjet
ergo	erggo
eskke	eske
etneš	ednesj
fakŋut	fagŋut
faŋkut	faŋkkut
farggabáliid	fargabálijd
farggamusat	fargamusat
farvealla	farvvealla
fastain	fasstajn
fast-ain	fast-ajn
fastin	fassten
fastin	fassten
fasttain	fastajn
fastten	fasten
fatnagasas	fadnagasas
fatnagassii	fadnagassij
feara	fiera
ferot	ferut
fielttil	fieltel
fiidnáseappot	fijnnáseappot
fiidnážit	fijnnátjet
finjil	finjel
fiskessidjii	fisskessidjij
fitnjalassii	fidnjalassij
fitnjut	fidnjut
fulkkeš	fulkesj
fuođđit	fuoddet
fuolalaččat	fuolalattjat
fuollameahttumit	fuollameahttumet
fággálagaid	fággálagajd
fálta	fállta
fámolaččat	fámulattjat
fárdearva	fárddearva
fárfful	fárful
fárrolaga	fárrulaga
fárrolagaid	fárrulagajd
fárrui	fárruj
fártasabbot	fárttasabbot
fáru	fáro
fásta	fássta
fátmálagaid	fátmálagajd
fávda	fávdda
fávlelačča	fávllelattja
fávlelaččas	fávllelattjas
fávlelažžii	fávlleladtjij
fávleleappos	fávlleleappos
fávlelebbui	fávllelebbuj
fávleleppožii	fávlleleppotjij
fávleleppožis	fávlleleppotjes
fávlelii	fávllelij
fávleliidda	fávllelijdda
fávlelis	fávlleles
fávlil	fávllel
fávllabealde	fávlabealde
fávllabeale	fávlabeale
fávllabeali	fávlabeale
fávllabeallai	fávlabeallaj
fávllibučča	fávlebuttja
fávllibuččas	fávlebuttjas
fávllibui	fávlebuj
fávllibuidda	fávlebujdda
fávllibus	fávlebus
fávllibužžii	fávlebudtjij
fávllimus	fávlemus
gahčagahča	gahtjagahtja
gahperoaivves	gahperoajvves
gahperoaivái	gahperoajváj
gaikomassii	gajkkumassij
gait	gajt
galju	galjjo
gallii	gallij
gallit	gallet
galládassii	galládassij
galmmasnaga	galmasnaga
gaŋgut	gaŋggut
gaŋkkooivviid	gaŋkoojvvijd
gaŋkut	gaŋkkut
ganjalčalmmiid	ganjáltjalmijd
garggunjálmmiid	gargunjálmijd
gaskabazaldagas	gasskabatsaldagas
gaskabazaldahkii	gasskabatsaldahkij
gaskaboddii	gasskaboddij
gaskačázis	gasskatjátses
gaskal	gasskal
gaskalis	gasskales
gaskamearálaččat	gasskamearálattjat
gaskan	gasskan
guovttágaskan	guovtágaskan
gaskaneametteskka	gasskaneametteska
gaskarádjai	gasskarádjaj
gaskasulaide	gasskasulajde
gaskasulain	gasskasulajn
gaskat	gasskat
gaskii	gasskij
gaskka	gaska
gaskkahaga	gaskahaga
gaskkaid	gaskajd
gaskkohagaid	gaskuhagajd
gasku	gassko
gassagassii	gassagassij
gavžut	gavttjut
gavžžil	gavtjel
gazzagasas	gadtsagasas
gazzagassii	gadtsagassij
gazzalagaid	gadtsalagajd
geahčen	giehtjen
geahčálagaid	gæhtjálagajd
geahppadit	giehppadet
geahppagerddiid	giehppagerddijd
geaidagasas	giejddagasas
geaidagassii	giejddagassij
geaidnoráigge	giejnnurájgge
geaigut	giejggut
geallagasas	giellagasas
geallagassii	giellagassij
geardde	gierde
gearddi	gierde
geardumassii	gierddumassij
geassasii	giessasij
geassasis	giessases
geasibui	giesebuj
geasibus	giesebus
geassečoavjjis	giessetjoavjjes
geasseguovdil	giesseguovdel
geasseleappos	giesseleappos
geasselebbui	giesselebbuj
geasselii	giesselij
geasseliidda	giesselijdda
geasselis	giesseles
geasset	giesset
geassit	giesset
geasás	gæsás
geavahanládje	gievahanládje
geavahanláhkai	gievahanláhkaj
geavllil	gievlel
geavrril	gievrel
geavrut	gievrrut
geavzut	gievttsut
geavzzil	gievtsel
geažálassii	gætjálassij
geažát	gætját
geidosii	gejddusij
geidosis	gejdduses
geit	gejt
giđasdálvve	gidásdálvve
giđasgease	gidásgease
giđđalii	giddalij
giđđalis	giddales
giđđat	giddat
giddalagaid	giddalagajd
gieđaguluin	giedagulujn
giehtasesiin	giehtasesijn
giehtalagaid	giehtalagajd
giellagassii	giellagassij
giellasii	giellasij
giellasis	giellases
gieskabále	giesskabále
gieskat	giesskat
gieskkaid	gieskajd
gietkagassii	gietkagassij
gievrru	gievro
gilgalagaid	gilggalagajd
gilggal	gilgal
gilggalis	gilgales
gilgut	gilggut
gilvolagaid	gilvvulagajd
gilvvu	gilvo
girjjálaččat	girjálattjat
gittalagaid	gittalagajd
gittauvssaid	gittauvssajd
givrril	givrel
givrut	givrrut
globálalaččat	glåbålalattjat
goabal	gåbal
goabbasiige	goabbasijge
goabbelii	goabbelij
goabbeliige	goabbelijge
goabbelis	goabbeles
goabbil	goabbel
goabbilge	goabbelge
goaiddá	goajdá
goalmmádassii	goalmádassij
goalmmádis	goalmádes
goamal	gåmal
goaŋkkil	goaŋkel
goaŋkut	goaŋkkut
goappil	goappel
goappilge	goappelge
goappos	goappus
goarjagasas	goarjjagasas
goarjagassii	goarjjagassij
goarjagii	goarjjagij
goarjagis	goarjjages
goarkagii	goarkkagij
goarkagis	goarkkages
goarrumassii	goarrumassij
goaruhussii	goaruhussij
goarvvil	goarvel
goasii	goasij
goasin	goasen
goassai	goassaj
goassige	goassege
goavddil	goavdel
goavkkil	goavkel
goavkut	goavkkut
goavrril	goavrel
goavrut	goavrrut
gobil	gåbel
goggo	gåggo
goigo	gåjggo
goikejulggiid	gåjkkejulggijd
goikevevssiid	gåjkkevevssijd
goit-al	gåjt-al
goitge	gåjtge
gok	gåk
gokčagasas	gåktjågasas
gokčagassii	gåktjågassij
gokko	gåkko
gokkonai	gåkkunaj
gokte	gåkte
goktege	gåktege
goktes	gåktes
golbmasiidgolbmasiid	gålmmåsijdgolmmasijd
golbmii	gålmmij
golgosii	gålggusij
golgosis	gålgguses
gollolagaid	gållulagajd
golmmaidgolmmaid	gålmåjdgolmajd
gomalassii	gåmålassij
gomogazzii	gåmugadtsij
gomolassii	gåmulassij
gomot	gåmut
gomuoivviid	gåmoojvvijd
gonne	gånne
gonnes	gånnes
gopmolassii	gåbmulassij
gopmut	gåbmut
goppos	gåppus
gorrelaččat	gårrelattjat
gorrosupmái	gårrusupmáj
gorrái	gårråj
gos	gås
gosa	gåså
gosii	gåsij
goskkeš	gåskesj
gossai	gåssåj
gostege	gåsstege
gostige	gåsstege
goste	gåsste
got	gåt
govdadit	gåvddådet
govdilasas	gåvddelasas
govdilassii	gåvddelassij
govdosii	gåvddusij
govdosis	gåvdduses
govt	gåvt
gubbarassii	gubbarassij
guđadassii	gudádassij
guđadis	gudádes
guđoldagas	guduldagas
guđoldahkii	guduldahkij
guhkesáiggis	guhkesájgges
guhkessidjii	guhkessidjij
guhkibuččas	guhkebuttjas
guhkibui	guhkebuj
guhkibuidda	guhkebujdda
guhkebuš	guhkebusj
guhkibus	guhkebus
guhkibužžii	guhkebudtjij
guhkiide	guhkijde
guhkiin	guhkijn
guhkkelaččas	guhkkelattjas
guhkkelažžii	guhkkeladtjij
guhkkelebbui	guhkkelebbuj
guhkkeleppožii	guhkkeleppotjij
guhkkeleppožis	guhkkeleppotjes
guhkkelii	guhkkelij
guhkkeliidda	guhkkelijdda
guhkkelis	guhkkeles
guhkkin	guhkken
guhkkin	guhkken
guhkkálagaid	guhkkálagajd
guhkkásii	guhkkásij
guhkáláhkai	guhkáláhkaj
guhttii	guhttij
guita	gujtta
guittot	gujtut
guittotge	gujtutge
guktii	guktij
gullolagaid	gullulagajd
gulámuddui	gulámudduj
gunttus	guntus
guođát	guodát
guoggarassii	guoggarassij
guoibmálagaid	guojmmálagajd
guokkil	guokkel
guoktil	guoktel
guoktásiidguoktásiid	guoktásijdguoktásijd
guorosnaga	guorusnaga
guossot	guossut
guovdat	guovddat
guovdeleappos	guovddeleappos
guovdelebbui	guovddelebbuj
guovdeleppožii	guovddeleppotjij
guovdeleppožis	guovddeleppotjes
guovdelii	guovddelij
guovdelis	guovddeles
guovdil	guovddel
guovdoleappos	guovdduleappos
guovdolebbui	guovddulebbuj
guovdoleppožii	guovdduleppotjij
guovdoleppožis	guovdduleppotjes
guovdolii	guovddulij
guovdolis	guovddules
guovssogeažis	guovsugeatjes
guovttebealčomil	guovtebealtjomel
guovttebealgobil	guovtebealgobel
guovttegávdnái	guovtegávnnáj
guovtteguosmái	guovteguosmáj
guovttejuolgaskii	guovtejuolgaskij
guovtteládje	guovteládje
guovttil	guovtel
guovttá	guovtá
gurrii	gurrij
gusto	gussto
guvdnjut	guvnnjut
guvdnut	guvnnut
guvnnjil	guvnjel
guvrril	guvrel
guvrut	guvrrut
guvttiidguvttiid	guvtijdguvttijd
gáddelačča	gáddelattja
gáddelaččas	gáddelattjas
gáddelaš	gáddelasj
gáddelažžii	gáddeladtjij
gáddelebbui	gáddelebbuj
gáddeleppožii	gáddeleppotjij
gáddeleppožis	gáddeleppotjes
gáddelii	gáddelij
gáddeliidda	gáddelijdda
gáddelis	gáddeles
gáddil	gáddel
gáddolagaid	gáddulagajd
gáidagasas	gájddagasas
gáidagassii	gájddagassij
gákcii	gáktsij
gáktegerddiid	gáktegerddijd
gálgoš	gálggusj
gámajuolggis	gámájuolgges
gánske	gánsske
gánssal	gánsal
gápmagahttá	gábmagahttá
gárgŋut	gárŋŋut
gárkŋil	gárŋel
gárragassii	gárragassij
gárragii	gárragij
gárragis	gárrages
gárrasii	gárrasij
gárrasis	gárrases
gárremaččaide	gárremattjajde
gárremaččain	gárremattjajn
gárremiidda	gárremijdda
gárremiin	gárremijn
gárrenoaivvis	gárrenoajvves
gárssil	gársel
gárvásii	gárvvásij
gáržásii	gárttjásij
gáržásis	gárttjáses
gáttabeali	gáttabeale
gáttabeallai	gáttabeallaj
gáttageahčai	gáttageahtjaj
gáttageahčen	gáttageahtjen
gával	gávál
gávddil	gávdel
gávotgaccaid	gávutgattsajd
gávrril	gávrel
gávrut	gávrrut
gávzzil	gávtsel
hain	hajn
heahkka	hiehkka
heahkkadaga	hiehkkadaga
heahkkat	hiehkkat
heahpatmeahttumit	hiehpatmeahttumet
heaittekeahttái	hiejtekeahttáj
healla	hiella
heaŋgagasas	hieŋggagasas
heaŋgagassii	hieŋggagassij
heaŋgasii	hieŋggasij
heaŋgasis	hieŋggases
hedi	hede
hedii	hedij
heggosii	heggusij
