                                   100%
0%>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>	a
caggasmeahttun	tsaggasmeahttun	a
cahkkil	tsahkkel	a
ceahkkálas	tsæhkkálas	a
ceaikkas	tsiejkas	a
ceakko#njuolgat	tsiekko#njuolggat	a
ceakkus	tsiekkus	a
cealkemeahttun	tsielkkemeahttun	a
cealkimeahttun	tsielkkemeahttun	a
civnna	tsivna	a
civzza	tsivtsa	a
cuippas	tsujpas	a
cuoccaheapme	tsuottsaheapme	a
cuoccas	tsuottsas	a
cuohppái	tsuohppáj	a
cuvkemeahttun	tsuvkkemeahttun	a
dalloš	dallusj	a
dalá	dalá	a
daláš	dalásj	a
dan#veardásaš	dan#værddásasj	a
danšlái	dansjláj	a
darvvas	darvas	a
dassáš	dassásj	a
daškat	dassjkat	a
de^pressiiva	de^pressijva	a
de^struktiiva	de^struktijva	a
deahkiheapme	diehkeheapme	a
deahtis	diehtes	a
dearvvašmeahttun	diervasjmeahttun	a
deatalaš	dietalasj	a
deatnolaš	diednulasj	a
deattoheapme	diettuheapme	a
deavdemeahttun	dievddemeahttun	a
deavdimeahttun	dievddemeahttun	a
deavis	dieves	a
deavkat	dievkkat	a
deaŧalaš	dietalasj	a
deaŧálaš	dætálasj	a
definihtta	defenihtta	a
dehalaš	dehálasj	a
dehálaš	dehálasj	a
deiktalaš	dejktalasj	a
demo^gráfalaš	demo^gráfálasj	a
demo^kráhtalaš	demo^kráhtalasj	a
deonttalaš	deontalasj	a
derivatiiva	derevatijva	a
deskriptiivalaš	deskreptijvalasj	a
detáljalaš	detáljalasj	a
deverbála	deverbála	a
deđot	dedut	a
di^a^gnostalaš	di^a^gnåsstålasj	a
di^agonála	di^agunála	a
di^alektála	di^alektála	a
dia^kronalaš	dia^krånålasj	a
didákttalaš	didákttalasj	a
diehpas	diehpas	a
diehtimeahttun	diehtemeahttun	a
diehttalas	diehttalas	a
diehttelas	diehttelas	a
diehttevaš	diehttevasj	a
diehttislágan	diehtteslágan	a
diehttislágán	diehtteslágán	a
dieiggas	diejgas	a
diekkáraš	diekkárasj	a
dielas	dielas	a
dielvvis	dielves	a
dien#sullasaš	dien#sullasasj	a
dievas#válddálaš	dievas#váldálasj	a
dievaslaš	dievaslasj	a
dievasmeahttun	dievasmeahttun	a
dieđa#teorehtalaš	dieda#teorehtalasj	a
dieđus	diedus	a
digitála	digetála	a
digitálalaš	digetálalasj	a
dihto	dihto	a
dihtolágan	dihtulágan	a
dihtolágán	dihtulágán	a
diibmo#beallásaš	dijmmo#bællásasj	a
diimmá	dijmá	a
diimmá#dálvváš	dijmá#dálvásj	a
diimmá#geasáš	dijmá#gæsásj	a
dilddas	dildas	a
dilkui	dilkkuj	a
diplomáhtalaš	diplumáhtalasj	a
distrivtta#politihkalaš	distrevtta#påletihkalasj	a
doabalaš	dåbalasj	a
doadjemeahttun	doadjemeahttun	a
doadjimeahttun	doadjemeahttun	a
doaibma#ekonomalaš	doajmma#ekunomalasj	a
doaibma#hehttejuvvon	doajmma#hehttejuvvon	a
doaibmevaš	doajmmevasj	a
doaimmahuslaš	doajmahuslasj	a
doaivvohahtti	doajvuhahtte	a
doalahahtti	dålahahtte	a
doallavaš	doallavasj	a
doallevaš	doallevasj	a
doallil	doallel	a
doanda	doandda	a
doares#politihkalaš	doares#påletihkalasj	a
doares#politihkkalaš	doares#påletihkkalasj	a
doarssas	doarsas	a
doaččis	doattjes	a
doažžat	doadtjat	a
doažži	doadtje	a
dobbelaš	dåbbelasj	a
dogmáhtalaš	dågmåhtalasj	a
dohkkehahtti	dåhkkehahtte	a
dohkkemeahttun	dåhkkemeahttun	a
dohkketmeahttun	dåhkketmeahttun	a
dolaheapme	dålåheapme	a
dolddas	dåldås	a
dolkadahtti	dålkkådahtte	a
dolla#ruoksat	dållå#ruoksat	a
dolla#vulggolaš	dållå#vulgulasj	a
dolos	dålus	a
dološ#dárrolaš	dålusj#dárrulasj	a
dolá	dålå	a
dovdo#mearkkalaš	dåvddo#mierkalasj	a
dovdui#čuohcci	dåvdduj#tjuohttse	a
doŋas	dåŋås	a
dramatihkalaš	dramátihkalasj	a
duhtávaš	duhtávasj	a
duhát#geardásaš	duhát#gærddásasj	a
duivvas	dujvas	a
dulpi#geažat	dulppe#gietjat	a
dulppas	dulpas	a
dulvvis	dulves	a
dulán	dulán	a
dumssas	dumsas	a
dumsui	dumssuj	a
duohkásaš	duohkásasj	a
duohpakeahtes	duohpakeahtes	a
duohtatmeahttun	duohtatmeahttun	a
duojás	duojás	a
duojáš	duojásj	a
duollet	duollet	a
duolloheapme	duolluheapme	a
duolmmus	duolmus	a
duolva#dovdi	duolvva#dåvdde	a
duoláš	duolásj	a
duorgái	duorggáj	a
duottaraddjái	duottaraddjáj	a
duođaštuslaš	duodasjtuslasj	a
dupleaksa	dupleaksa	a
duppal	duppal	a
duppal#geardásaš	duppal#gærddásasj	a
duđahahtti	dudáhahtte	a
duŋggas	duŋgas	a
dušši	dussje	a
dynamalaš	dynámalasj	a
dynámalaš	dynámalasj	a
dábálaš#politihkalaš	dábálasj#påletihkalasj	a
dádjagaš	dádjagasj	a
dáhpalaš	dáhpalasj	a
dáidimeahttun	dájddemeahttun	a
dálkkas#dieđalaš	dálkas#diedalasj	a
dálkkaslaš	dálkaslasj	a
dálvvas	dálvas	a
dálvásaš	dálvvásasj	a
dálá	dálá	a
dámakeat	dámákeat	a
dán#háváš	dán#hávásj	a
dán#jagáš	dán#jagásj	a
dán#sullasaš	dán#sullasasj	a
dánlágan	dánlágan	a
dánska	dánsska	a
dánska-norgga	dánsska-nårgå	a
dárbbašlaš	dárbasjlasj	a
dárbbašmeahttun	dárbasjmeahttun	a
dáro#giel	dáro#giel	a
dáseheapme	dáseheapme	a
dásiheapme	dáseheapme	a
dásse#deattoheapme	dásse#diettuheapme	a
dásse#deattokeahtes	dásse#diettukeahtes	a
dásse#deattukeahtes	dásse#diettukeahtes	a
dásse#dettolaš	dásse#dettulasj	a
dásse#gilggat	dásse#gilgat	a
dásse#juolggat	dásse#juolgat	a
dásse#ravddat	dásse#ravdat	a
dásse#siiddot	dásse#sijdut	a
dásse#árvosaš	dásse#árvvusasj	a
dássi#gilggat	dásse#gilgat	a
dássi#juolggat	dásse#juolgat	a
dássi#ravddat	dásse#ravdat	a
dássi#siiddot	dásse#sijdut	a
dássi-deattoheapme	dássi-diettuheapme	a
dássitmeahttun	dássetmeahttun	a
dássálas	dássálas	a
dássáš	dássásj	a
dávggas	dávgas	a
dávggasmeahttun	dávgasmeahttun	a
dávji	dávjje	a
dávttas	dávtas	a
dávttaskas	dávtaskas	a
dávtteheapme	dávteheapme	a
dávttiheapme	dávteheapme	a
dáválaš	dáválasj	a
dáđas	dádás	a
dáđggis	dárges	a
eahkedis-	iehkedis-	a
eahkes-	iehkes-	a
eahpe#bassi	iehpe#basse	a
eahpe#dievaslaš	iehpe#dievaslasj	a
eahpe#dohkálaš	iehpe#dåhkålasj	a
eahpe#duohta	iehpe#duohta	a
eahpe#duđahahtti	iehpe#dudáhahtte	a
eahpe#dábálaš	iehpe#dábálasj	a
eahpe#formála	iehpe#fårmåla	a
eahpe#formálalaš	iehpe#fårmålalasj	a
eahpe#giella#oahpalaš	iehpe#giella#oahpalasj	a
eahpe#gorrelaš	iehpe#gårrelasj	a
eahpe#govttolaš	iehpe#gåvtulasj	a
eahpe#jáhkehahtti	iehpe#jáhkehahtte	a
eahpe#logalaš	iehpe#lågålasj	a
eahpe#luohtehahtti	iehpe#luohtehahtte	a
eahpe#mávssolaš	iehpe#mávsulasj	a
eahpe#njuolgat	iehpe#njuolggat	a
eahpe#njuolggaduslaš	iehpe#njuolgaduslasj	a
eahpe#normála	iehpe#nårmåla	a
eahpe#ovttalaš	iehpe#åvtålasj	a
eahpe#ozolaš	iehpe#åtsulasj	a
eahpe#politihkalaš	iehpe#påletihkalasj	a
eahpe#realisttalaš	iehpe#rielestalasj	a
eahpe#rehalaš	iehpe#rehálasj	a
eahpe#segmentálalaš	iehpe#segmentálalasj	a
eahpe#virggálaš	iehpe#virgálasj	a
eahpe#vuogálaš	iehpe#vuogálasj	a
eahpe#čuožžovaš	iehpe#tjuodtjuvasj	a
eahpe-realisttalaš	iehpe-rielestalasj	a
eahpi#bassi	iehpe#basse	a
eahpi#duohta	iehpe#duohta	a
eahpi#duđahahtti	iehpe#dudáhahtte	a
eahpi#gullu	iehpe#gullo	a
eahpi#jáhkihahtti	iehpe#jáhkehahtte	a
eahpi#luohtihahtti	iehpe#luohtehahtte	a
eahpi#normála	iehpe#nårmåla	a
eahpi#sealvi	iehpe#sielvve	a
eahpi#veaddji	iehpe#vieddje	a
eahpi#čielggas	iehpe#tjielgas	a
eahpidahtti	iehpedahtte	a
eahttu#ruoksat	iehtto#ruoksat	a
eaitnaha	iejtnaha	a
eakti	iekte	a
eaktu#dáhtolaš	iekto#dáhtulasj	a
eallin#vulggolaš	iellen#vulgulasj	a
eambbo	iembo	a
eami#álbmot#guoskevaš	ieme#álmmut#guosskevasj	a
eana#dieđalaš	iena#diedalasj	a
eana#dieđálaš	iena#diedálasj	a
eana#gottálaš	iena#gåttålasj	a
eanalaš	ienalasj	a
eanan#dieđálaš	ienan#diedálasj	a
earalágan	ieralágan	a
earalágán	ieralágán	a
eareliiggán	ierelijggán	a
eareliiggáš	ierelijggásj	a
earenoamáš	ierenoamásj	a
earenomáš	ierenomásj	a
eará#dássásaš	ærá#dássásasj	a
eará#ivdnásaš	ærá#ivnnásasj	a
eará#mállet	ærá#mállet	a
earálágan	ærálágan	a
earálágán	ærálágán	a
easka#riegádan	iesska#riegádan	a
eastatmeahttun	iesstatmeahttun	a
easttaheapme	iestaheapme	a
eatnan#dieđalaš	iednan#diedalasj	a
eatnan#vuoles	iednan#vuoles	a
eatnanlaš	iednanlasj	a
eatnat#geardásaš	iednat#gærddásasj	a
eatnat#lohkosaš	iednat#låhkusasj	a
eatniheapme	iedneheapme	a
eavttoheapme	ievtuheapme	a
eavttuheapme	ievtuheapme	a
eaŋgalas	ieŋggalas	a
eaŋgals	ieŋggals	a
ebmui	ebbmuj	a
edomlaš	edumlasj	a
effektiiva	effektijva	a
egoisttalaš	egujstalasj	a
ehtalaš	ehtalasj	a
ekologalaš	ekulogalasj	a
ekologálaš	ekulogálasj	a
ekonomalaš	ekunomalasj	a
ekonomiija#politihkalaš	ekunomijja#påletihkalasj	a
ekonomálaš	ekunomálasj	a
eks^klusiiva	eks^klusijva	a
eks^plisihtta	eks^plisehtta	a
eksoforalaš	eksuforalasj	a
eksohtalaš	eksuhtalasj	a
eksosentrihkalaš	eksusentrihkalasj	a
eksotihkalaš	eksutihkalasj	a
eksperimentála	eksperimentála	a
ekstremisttalaš	ekstremistalasj	a
ekstáhtalaš	ekstáhtalasj	a
ekvivaleanta	ekvevaleanta	a
elastihkalaš	elástihkalasj	a
elegánta	elegánta	a
elektralaš	elektralasj	a
elektrihkalaš	elektrihkalasj	a
elektronalaš	elektronalasj	a
elementára	elementára	a
ellipttalaš	ellepttalasj	a
empiralaš	empperalasj	a
en^klihtalaš	en^klihtalasj	a
endena	enddena	a
endosentrihkalaš	enddusentrihkalasj	a
enharmonalaš	enharmonalasj	a
epihka-po^ehtalaš	epehka-po^ehtalasj	a
epihkalaš	epehkalasj	a
epistemalaš	epestemalasj	a
ereliiggán	erelijggán	a
ereliiggáš	erelijggásj	a
erenoamaš	erenoamasj	a
erenoamán	erenoamán	a
erenoamáš	erenoamásj	a
erenoamáš#pedagogalaš	erenoamásj#pedágogalasj	a
erenomáš	erenomásj	a
eret#cealkkehahtti	eret#tsielkehahtte	a
erohtalaš	eruhtalasj	a
erotihkalaš	erutihkalasj	a
estehtalaš	esstehtalasj	a
etnalaš	ednalasj	a
etnihkalaš	ednehkalasj	a
etno^gráfalaš	edno^gráfálasj	a
etnologalaš	ednulogalasj	a
etnosentrihkalaš	ednusentrihkalasj	a
etnálaš	ednálasj	a
etymologalaš	etymologalasj	a
eufemisttalaš	eufemistalasj	a
euro#sentralaš	euro#sentralasj	a
evangelalaš	evángelalasj	a
eváhkkolaš	eváhkkolasj	a
eŋgalas	eŋggalas	a
eŋgelas	eŋggelas	a
fadnil	faddnel	a
fakultehtaid#gaskasaš	fakultehtajd#gasskasasj	a
fanatihkalaš	fanátihkalasj	a
fantastihkalaš	fanttastihkalasj	a
fantásttalaš	fanttástalasj	a
fanáhtalaš	fanáhtalasj	a
fašisttalaš	fasjestalasj	a
fearalágan	fieralágan	a
fearalágán	fieralágán	a
feargasaš	fierggasasj	a
fearggaheapme	fiergaheapme	a
federála	federála	a
feministtalaš	femenistalasj	a
fenomenála	fenumenála	a
feodála	feodála	a
feodálalaš	feodálalasj	a
fiber#optihkalaš	fiber#åptehkalasj	a
fierggeheapme	fiergeheapme	a
fierggiheapme	fiergeheapme	a
fierttos	fiertus	a
fievro#gollos#guovdasaš	fievrro#gållus#guovddasasj	a
fievrro#guovdasaš	fievro#guovddasasj	a
figuratiiva	figuratijva	a
fiktiiva	fiktijva	a
filmáhtalaš	filmáhtalasj	a
filologalaš	filulogalasj	a
filosofalaš	filusofalasj	a
filosofálaš	filusofálasj	a
finihtta	finehtta	a
fioleahtta	fioleahtta	a
fiskat	fisskat	a
fiskeslágan	fisskeslágan	a
fiskeslágán	fisskeslágán	a
fitno#fágalaš	fidno#fágálasj	a
fitnodat#ekonomálaš	fidnudat#ekunomálasj	a
fitnolaš	fidnulasj	a
fivlat	fivllat	a
flegmáhtalaš	flegmáhtalasj	a
fleksi	flekse	a
folk#loristtalaš	fålk#lårestalasj	a
fonehtalaš	fånehtalasj	a
fonemalaš	fånemalasj	a
fonemáhtalaš	fånemáhtalasj	a
fono#távttalaš	fåno#távtalasj	a
fonologalaš	fånulogalasj	a
fonologálaš	fånulogálasj	a
formála	fårmåla	a
formálalaš	fårmålalasj	a
free^styla	free^styla	a
free^style	free^style	a
friddja#hápmásaš	friddja#hábmásasj	a
friija	frijja	a
friija#hápmásaš	frijja#hábmásasj	a
fundamentalisttalaš	funddamentalistalasj	a
funktionála	funktionála	a
funkšonála	funksjunála	a
funkšunála	funksjunála	a
fuomášahtti	fuomátjahtte	a
fuopmášahtti	fuobmátjahtte	a
fuorji	fuorjje	a
fuorás	fuorás	a
fuotni	fuodne	a
fuođđi	fuodde	a
fylka#gieldalaš	fylkka#gielldalasj	a
fysalaš	fysálasj	a
fysikála	fysekála	a
fysikálalaš	fysekálalasj	a
fysálaš	fysálasj	a
fágaid#gaskasaš	fágájd#gasskasasj	a
fágalaš	fágálasj	a
fáhkka	fáhkka	a
fáhkka#mohkat	fáhkka#måhkåt	a
fáhkkat	fáhkkat	a
fáhkkatlaš	fáhkkatlasj	a
fálmmiheapme	fálmeheapme	a
fálska	fálska	a
fántásttalaš	fánttástalasj	a
fásta	fássta	a
fástideaddji	fásstedeaddje	a
fávdnái	fávnnáj	a
fávllibuš	fávlebusj	a
fášisttalaš	fásjestalasj	a
føderála	føderála	a
gaba#ivdnásaš	gaba#ivnnásasj	a
gabbái	gabbáj	a
gadnái	gaddnáj	a
gahpergeahtes	gahpergeahtes	a
gahperha	gahperha	a
gahperkeahtes	gahperkeahtes	a
gaitlágan	gajtlágan	a
gaitlágán	gajtlágán	a
galba#hámat	galbba#hámát	a
galdái	galldáj	a
galkkadeaddji	galkadeaddje	a
gallilágan	gallelágan	a
gallilágán	gallelágán	a
galljes	galljes	a
galljosaš	galljusasj	a
gallás	gallás	a
garas	garás	a
garri	garre	a
garril	garrel	a
garvemeahttun	garvvemeahttun	a
garvimeahttun	garvvemeahttun	a
gaska#boddasaš	gasska#båddåsasj	a
gaska#boddosaš	gasska#båddusasj	a
gaska#gielddalaš	gasska#gieldalasj	a
gaska#mearálaš	gasska#mærálasj	a
gaska#áigásaš	gasska#ájggásasj	a
gaska#árvosaš	gasska#árvvusasj	a
gaskan#šatta	gasskan#sjatta	a
gaskanas	gasskanas	a
gaskandaga	gasskandaga	a
gaskaneas	gasskaneas	a
gaskkaheapme	gaskaheapme	a
gaskkasaš	gaskasasj	a
gastrologalaš	gastrulogalasj	a
gastronomalaš	gastrunomalasj	a
gavjái	gavjjáj	a
gavri	gavrre	a
gavžžas	gavtjas	a
geahpas	giehpas	a
geahpedan#gelbbolaš	giehpedan#gelbulasj	a
geahppat	giehppat	a
geahčimeahttun	giehtjemeahttun	a
geahčálas	gæhtjálas	a
geaiddus	giejdus	a
geailo#hámat	giejlo#hámát	a
geaisárlaš	gæjssárlasj	a
geamus	giemus	a
geanoheapme	gienuheapme	a
geanuheapme	gienuheapme	a
gearddaš	gierdasj	a
gearpmus	giermus	a
gearrat	gierrat	a
geaseheapme	gieseheapme	a
geasiheapme	gieseheapme	a
geasoheapme	giesuheapme	a
geasse#ruonas	giesse#ruonas	a
geassi#ruonas	giesse#ruonas	a
geassil	giessel	a
geasuheaddji	giesuheaddje	a
geavatlaš	gievatlasj	a
geavllas	gievlas	a
geavrras	gievras	a
geavzzas	gievtsas	a
geađas	giedas	a
geađgái	gærggáj	a
geažehis	gietjehes	a
geažo	gietjo	a
geažos	gietjus	a
gehppes	gehppes	a
gehppeslágan	gehppeslágan	a
gehppeslágán	gehppeslágán	a
gene^alogálaš	gene^alugálasj	a
genehtalaš	genehtalasj	a
generatiiva	generatijva	a
generealla	generealla	a
generella	generella	a
